indice_tiempo,motivo,turistas
2020-07-01,Visita a familiares y amigos,220339
2020-07-01,"Trabajo, negocios",22346
2020-07-01,Otros,258541
2020-10-01,"Vacaciones, ocio",1119099
2020-10-01,Visita a familiares y amigos,1265935
2020-10-01,"Trabajo, negocios",41803
2020-10-01,Otros,245605
2021-01-01,"Vacaciones, ocio",4033073
2021-01-01,Visita a familiares y amigos,1961844
2021-01-01,"Trabajo, negocios",113135
2021-01-01,Otros,122549
2021-04-01,"Vacaciones, ocio",1143330
2021-04-01,Visita a familiares y amigos,969184
2021-04-01,"Trabajo, negocios",35847
2021-04-01,Otros,100632
2021-07-01,"Vacaciones, ocio",2358421
2021-07-01,Visita a familiares y amigos,1370378
2021-07-01,"Trabajo, negocios",75966
2021-07-01,Otros,281854
2021-10-01,"Vacaciones, ocio",3044218
2021-10-01,Visita a familiares y amigos,1918671
2021-10-01,"Trabajo, negocios",71211
2021-10-01,Otros,317157
2022-01-01,"Vacaciones, ocio",9644123
2022-01-01,Visita a familiares y amigos,2393034
2022-01-01,"Trabajo, negocios",150453
2022-01-01,Otros,200786
2022-04-01,"Vacaciones, ocio",3344375
2022-04-01,Visita a familiares y amigos,1730736
2022-04-01,"Trabajo, negocios",192623
2022-04-01,Otros,115179
2022-07-01,"Vacaciones, ocio",3850462
2022-07-01,Visita a familiares y amigos,1997598
2022-07-01,"Trabajo, negocios",115258
2022-07-01,Otros,162982
2022-10-01,"Vacaciones, ocio",4685243
2022-10-01,Visita a familiares y amigos,2139915
2022-10-01,"Trabajo, negocios",87767
2022-10-01,Otros,236733
2023-01-01,"Vacaciones, ocio",8647818
2023-01-01,Visita a familiares y amigos,2194670
2023-01-01,"Trabajo, negocios",133994
2023-01-01,Otros,143344
2023-04-01,"Vacaciones, ocio",3377103
2023-04-01,Visita a familiares y amigos,1360934
2023-04-01,"Trabajo, negocios",85740
2023-04-01,Otros,48664
2023-07-01,"Vacaciones, ocio",3362182.42
2023-07-01,Visita a familiares y amigos,1334790.79
2023-07-01,"Trabajo, negocios",174184.47
2023-07-01,Otros,258286.79
2023-10-01,"Vacaciones, ocio",3741865
2023-10-01,Visita a familiares y amigos,1605656
2023-10-01,"Trabajo, negocios",104126
2023-10-01,Otros,302029
2024-01-01,"Vacaciones, ocio",7151891
2024-01-01,Visita a familiares y amigos,2240389
2024-01-01,"Trabajo, negocios",197756
2024-01-01,Otros,453886
2024-04-01,"Vacaciones, ocio",2428879
2024-04-01,Visita a familiares y amigos,1163670
2024-04-01,"Trabajo, negocios",59103
2024-04-01,Otros,412981
