indice_tiempo,tipo_alojamiento,turistas
2016-04-01,Segunda vivienda del hogar,323914
2016-04-01,Vivienda alquilada por temporada,174136
2016-04-01,Vivienda de familiares y amigos,1767912
2016-07-01,Camping,164894
2016-07-01,Hotel o similar hasta 3 estrellas,1670316
2016-07-01,Hotel similar 4 o 5 estrellas,254861
2016-07-01,Resto,9200
2016-07-01,Segunda vivienda del hogar,1318982
2016-07-01,Vivienda alquilada por temporada,426253
2016-07-01,Vivienda de familiares y amigos,2639197
2016-10-01,Camping,157369
2016-10-01,Hotel o similar hasta 3 estrellas,1783262
2016-10-01,Hotel similar 4 o 5 estrellas,192562
2016-10-01,Resto,8658
2016-10-01,Segunda vivienda del hogar,833463
2016-10-01,Vivienda alquilada por temporada,290976
2016-10-01,Vivienda de familiares y amigos,2822470
2017-01-01,Camping,516508
2017-01-01,Hotel o similar hasta 3 estrellas,2804427
2017-01-01,Hotel similar 4 o 5 estrellas,173714
2017-01-01,Resto,10602
2017-01-01,Segunda vivienda del hogar,965975
2017-01-01,Vivienda alquilada por temporada,2134839
2017-01-01,Vivienda de familiares y amigos,3750985
2017-04-01,Camping,61366
2017-04-01,Hotel o similar hasta 3 estrellas,1254794
2017-04-01,Hotel similar 4 o 5 estrellas,106480
2017-04-01,Resto,17378
2017-04-01,Segunda vivienda del hogar,907118
2017-04-01,Vivienda alquilada por temporada,306732
2017-04-01,Vivienda de familiares y amigos,1972326
2017-07-01,Camping,105073
2017-07-01,Hotel o similar hasta 3 estrellas,2286342
2017-07-01,Hotel similar 4 o 5 estrellas,226472
2017-07-01,Resto,53238
2017-07-01,Segunda vivienda del hogar,1834725
2017-07-01,Vivienda alquilada por temporada,387342
2017-07-01,Vivienda de familiares y amigos,3510642
2017-10-01,Camping,302071
2017-10-01,Hotel o similar hasta 3 estrellas,1641091
2017-10-01,Hotel similar 4 o 5 estrellas,246228
2017-10-01,Resto,52620
2017-10-01,Segunda vivienda del hogar,955081
2017-10-01,Vivienda alquilada por temporada,554432
2017-10-01,Vivienda de familiares y amigos,3236284
2018-01-01,Camping,679519
2018-01-01,Hotel o similar hasta 3 estrellas,2449496
2018-01-01,Hotel similar 4 o 5 estrellas,199039
2018-01-01,Resto,33581
2018-01-01,Segunda vivienda del hogar,1736196
2018-01-01,Vivienda alquilada por temporada,1887785
2018-01-01,Vivienda de familiares y amigos,4435749
2018-04-01,Camping,37106
2018-04-01,Hotel o similar hasta 3 estrellas,1223933
2018-04-01,Hotel similar 4 o 5 estrellas,124512
2018-04-01,Resto,10490
2018-04-01,Segunda vivienda del hogar,815033
2018-04-01,Vivienda alquilada por temporada,196722
2018-04-01,Vivienda de familiares y amigos,1795197
2018-07-01,Camping,80369
2018-07-01,Hotel o similar hasta 3 estrellas,1349804
2018-07-01,Hotel similar 4 o 5 estrellas,126852
2018-07-01,Resto,21045
2018-07-01,Segunda vivienda del hogar,1166599
2018-07-01,Vivienda alquilada por temporada,287403
2018-07-01,Vivienda de familiares y amigos,2461154
2018-10-01,Camping,128472
2018-10-01,Hotel o similar hasta 3 estrellas,1372439
2018-10-01,Hotel similar 4 o 5 estrellas,80645
2018-10-01,Resto,47087
2018-10-01,Segunda vivienda del hogar,1878738
2018-10-01,Vivienda alquilada por temporada,430916
2018-10-01,Vivienda de familiares y amigos,2466529
2019-01-01,Camping,398480
2019-01-01,Hotel o similar hasta 3 estrellas,1959277
2019-01-01,Hotel similar 4 o 5 estrellas,274988
2019-01-01,Resto,32395
2019-01-01,Segunda vivienda del hogar,1510014
2019-01-01,Vivienda alquilada por temporada,1926284
2019-01-01,Vivienda de familiares y amigos,3859293
2019-04-01,Camping,41345
2019-04-01,Hotel o similar hasta 3 estrellas,908872
2019-04-01,Hotel similar 4 o 5 estrellas,122466
2019-04-01,Resto,5158
2019-04-01,Segunda vivienda del hogar,1005475
2019-04-01,Vivienda alquilada por temporada,267438
2019-04-01,Vivienda de familiares y amigos,1925556
2019-07-01,Camping,145785
2019-07-01,Hotel o similar hasta 3 estrellas,1425227
2019-07-01,Hotel similar 4 o 5 estrellas,220822
2019-07-01,Resto,14569
2019-07-01,Segunda vivienda del hogar,1181034
2019-07-01,Vivienda alquilada por temporada,396908
2019-07-01,Vivienda de familiares y amigos,2714919
2019-10-01,Camping,255252
2019-10-01,Hotel o similar hasta 3 estrellas,1200530
2019-10-01,Hotel similar 4 o 5 estrellas,227791
2019-10-01,Resto,20877
2019-10-01,Segunda vivienda del hogar,1246926
2019-10-01,Vivienda alquilada por temporada,630990
2019-10-01,Vivienda de familiares y amigos,2838045
2020-01-01,Camping,353241
2020-01-01,Hotel o similar hasta 3 estrellas,1780057
2020-01-01,Hotel similar 4 o 5 estrellas,244027
2020-01-01,Resto,22111
2020-01-01,Segunda vivienda del hogar,1091953
2020-01-01,Vivienda alquilada por temporada,1709776
2020-01-01,Vivienda de familiares y amigos,3589906
2020-04-01,Hotel o similar hasta 3 estrellas,19052
2020-04-01,Hotel similar 4 o 5 estrellas,600
2020-04-01,Resto,341
2020-04-01,Segunda vivienda del hogar,60060
2020-04-01,Vivienda alquilada por temporada,988
2020-04-01,Vivienda de familiares y amigos,93822
2020-07-01,Hotel o similar hasta 3 estrellas,27435
2020-07-01,Hotel similar 4 o 5 estrellas,1846
2020-07-01,Resto,51873
2020-07-01,Segunda vivienda del hogar,347052
2020-07-01,Vivienda alquilada por temporada,9281
2020-07-01,Vivienda de familiares y amigos,222876
2020-10-01,Camping,9747
2020-10-01,Hotel o similar hasta 3 estrellas,163482
2020-10-01,Hotel similar 4 o 5 estrellas,39423
2020-10-01,Resto,11282
2020-10-01,Segunda vivienda del hogar,1127308
2020-10-01,Vivienda alquilada por temporada,209210
2020-10-01,Vivienda de familiares y amigos,1111990
