indice_tiempo,region_origen,turistas
2017-01-01,PBA - Resto,549331
2017-01-01,Patagonia,731605
2017-04-01,CABA,993533
2017-04-01,Cuyo,227825
2017-04-01,Córdoba,434442
2017-04-01,Litoral,752376
2017-04-01,Norte,555913
2017-04-01,PBA - Partidos del GBA,1113031
2017-04-01,PBA - Resto,325315
2017-04-01,Patagonia,223759
2017-07-01,CABA,1225576
2017-07-01,Cuyo,460152
2017-07-01,Córdoba,628647
2017-07-01,Litoral,1113317
2017-07-01,Norte,910110
2017-07-01,PBA - Partidos del GBA,2905286
2017-07-01,PBA - Resto,796757
2017-07-01,Patagonia,363989
2017-10-01,CABA,1105660
2017-10-01,Cuyo,563978
2017-10-01,Córdoba,424785
2017-10-01,Litoral,987151
2017-10-01,Norte,828962
2017-10-01,PBA - Partidos del GBA,2022654
2017-10-01,PBA - Resto,692474
2017-10-01,Patagonia,362143
2018-01-01,CABA,1965185
2018-01-01,Cuyo,550567
2018-01-01,Córdoba,693781
2018-01-01,Litoral,1364522
2018-01-01,Norte,1107228
2018-01-01,PBA - Partidos del GBA,4457473
2018-01-01,PBA - Resto,632453
2018-01-01,Patagonia,650156
2018-04-01,CABA,646725
2018-04-01,Cuyo,205797
2018-04-01,Córdoba,366820
2018-04-01,Litoral,467348
2018-04-01,Norte,492356
2018-04-01,PBA - Partidos del GBA,1506161
2018-04-01,PBA - Resto,325620
2018-04-01,Patagonia,192166
2018-07-01,CABA,982688
2018-07-01,Cuyo,252849
2018-07-01,Córdoba,634243
2018-07-01,Litoral,701325
2018-07-01,Norte,791235
2018-07-01,PBA - Partidos del GBA,1417007
2018-07-01,PBA - Resto,427705
2018-07-01,Patagonia,286174
2018-10-01,CABA,1355230
2018-10-01,Cuyo,309762
2018-10-01,Córdoba,566591
2018-10-01,Litoral,840470
2018-10-01,Norte,512841
2018-10-01,PBA - Partidos del GBA,1948712
2018-10-01,PBA - Resto,520237
2018-10-01,Patagonia,350983
2019-01-01,CABA,1692673
2019-01-01,Cuyo,412375
2019-01-01,Córdoba,735366
2019-01-01,Litoral,1409168
2019-01-01,Norte,806461
2019-01-01,PBA - Partidos del GBA,3696143
2019-01-01,PBA - Resto,688478
2019-01-01,Patagonia,520067
2019-04-01,CABA,800618
2019-04-01,Cuyo,247315
2019-04-01,Córdoba,407942
2019-04-01,Litoral,739980
2019-04-01,Norte,331836
2019-04-01,PBA - Partidos del GBA,1099410
2019-04-01,PBA - Resto,385336
2019-04-01,Patagonia,263873
2019-07-01,CABA,1078794
2019-07-01,Cuyo,344459
2019-07-01,Córdoba,492079
2019-07-01,Litoral,846827
2019-07-01,Norte,504975
2019-07-01,PBA - Partidos del GBA,1944204
2019-07-01,PBA - Resto,500690
2019-07-01,Patagonia,387236
2019-10-01,CABA,976546
2019-10-01,Cuyo,480011
2019-10-01,Córdoba,432178
2019-10-01,Litoral,973127
2019-10-01,Norte,539022
2019-10-01,PBA - Partidos del GBA,2297341
2019-10-01,PBA - Resto,424044
2019-10-01,Patagonia,298142
2020-01-01,CABA,1586221
2020-01-01,Cuyo,431689
2020-01-01,Córdoba,507478
2020-01-01,Litoral,811926
2020-01-01,Norte,810750
2020-01-01,PBA - Partidos del GBA,3745444
2020-01-01,PBA - Resto,491492
2020-01-01,Patagonia,406071
2020-04-01,CABA,27302
2020-04-01,Cuyo,6763
2020-04-01,Córdoba,11395
2020-04-01,Litoral,40092
2020-04-01,Norte,58460
2020-04-01,PBA - Partidos del GBA,8466
2020-04-01,PBA - Resto,3625
2020-04-01,Patagonia,18760
2020-07-01,CABA,121970
2020-07-01,Cuyo,53383
2020-07-01,Córdoba,20244
2020-07-01,Litoral,138593
2020-07-01,Norte,96461
2020-07-01,PBA - Partidos del GBA,166370
2020-07-01,PBA - Resto,42670
2020-07-01,Patagonia,20672
2020-10-01,CABA,280052
2020-10-01,Cuyo,124903
2020-10-01,Córdoba,279092
2020-10-01,Litoral,428246
2020-10-01,Norte,208252
2020-10-01,PBA - Partidos del GBA,972978
2020-10-01,PBA - Resto,214635
2020-10-01,Patagonia,164284
2021-01-01,CABA,1023939
2021-01-01,Cuyo,350706
2021-01-01,Córdoba,509776
2021-01-01,Litoral,759249
2021-01-01,Norte,471317
2021-01-01,PBA - Partidos del GBA,2317481
2021-01-01,PBA - Resto,454727
2021-01-01,Patagonia,343406
2021-04-01,CABA,307068
2021-04-01,Cuyo,162202
2021-04-01,Córdoba,106996
2021-04-01,Litoral,491661
2021-04-01,Norte,327524
2021-04-01,PBA - Partidos del GBA,631720
2021-04-01,PBA - Resto,106424
2021-04-01,Patagonia,115398
2021-07-01,CABA,675884
2021-07-01,Cuyo,224381
2021-07-01,Córdoba,389747
2021-07-01,Litoral,620954
2021-07-01,Norte,512253
2021-07-01,PBA - Partidos del GBA,1149870
2021-07-01,PBA - Resto,311784
2021-07-01,Patagonia,201746
2021-10-01,CABA,697507
2021-10-01,Cuyo,305550
2021-10-01,Córdoba,493867
2021-10-01,Litoral,571444
2021-10-01,Norte,643288
2021-10-01,PBA - Partidos del GBA,2021103
2021-10-01,PBA - Resto,335780
2021-10-01,Patagonia,282718
2022-01-01,CABA,1826251
2022-01-01,Cuyo,572132
2022-01-01,Córdoba,572599
2022-01-01,Litoral,1259602
2022-01-01,Norte,978009
2022-01-01,PBA - Partidos del GBA,5731604
2022-01-01,PBA - Resto,962892
2022-01-01,Patagonia,485307
2022-04-01,CABA,600298
2022-04-01,Cuyo,333212
2022-04-01,Córdoba,586035
2022-04-01,Litoral,613644
2022-04-01,Norte,567734
2022-04-01,PBA - Partidos del GBA,2073115
2022-04-01,PBA - Resto,393235
2022-04-01,Patagonia,215640
2022-07-01,CABA,1545519
2022-07-01,Cuyo,331991
2022-07-01,Córdoba,507828
2022-07-01,Litoral,793267
2022-07-01,Norte,640164
2022-07-01,PBA - Partidos del GBA,1567180
2022-07-01,PBA - Resto,449718
2022-07-01,Patagonia,290633
2022-10-01,CABA,792793
2022-10-01,Cuyo,293505
2022-10-01,Córdoba,852347
2022-10-01,Litoral,859849
2022-10-01,Norte,617772
2022-10-01,PBA - Partidos del GBA,2915790
2022-10-01,PBA - Resto,473876
2022-10-01,Patagonia,343726
2023-01-01,CABA,1894945
2023-01-01,Cuyo,488515
2023-01-01,Córdoba,629467
2023-01-01,Litoral,1246630
2023-01-01,Norte,982256
2023-01-01,PBA - Partidos del GBA,4456898
2023-01-01,PBA - Resto,678732
2023-01-01,Patagonia,742383
2023-04-01,CABA,719691
2023-04-01,Cuyo,265364
