indice_tiempo,region_destino,pernoctes
2017-01-01,CABA,1426211
2017-01-01,Cuyo,4679135
2017-01-01,Córdoba,10875670
2017-01-01,Litoral,11042431
2017-01-01,Norte,6899058
2017-01-01,PBA - Partidos del GBA,739304
2017-01-01,PBA - Resto,30733479
2017-01-01,Patagonia,7701618
2017-04-01,CABA,1244714
2017-04-01,Cuyo,1602121
2017-04-01,Córdoba,2688339
2017-04-01,Litoral,3464777
2017-04-01,Norte,2993647
2017-04-01,PBA - Partidos del GBA,320599
2017-04-01,PBA - Resto,5730587
2017-04-01,Patagonia,1319174
2017-07-01,CABA,1623113
2017-07-01,Cuyo,3110274
2017-07-01,Córdoba,4206783
2017-07-01,Litoral,7747684
2017-07-01,Norte,7162065
2017-07-01,PBA - Partidos del GBA,206678
2017-07-01,PBA - Resto,9940515
2017-07-01,Patagonia,3664044
2017-10-01,CABA,1328391
2017-10-01,Cuyo,2250704
2017-10-01,Córdoba,5135094
2017-10-01,Litoral,4448310
2017-10-01,Norte,6162209
2017-10-01,PBA - Partidos del GBA,452115
2017-10-01,PBA - Resto,9084919
2017-10-01,Patagonia,2675416
2018-01-01,CABA,1253308
2018-01-01,Cuyo,6466983
2018-01-01,Córdoba,9524754
2018-01-01,Litoral,10659863
2018-01-01,Norte,7885362
2018-01-01,PBA - Partidos del GBA,866575
2018-01-01,PBA - Resto,35647836
2018-01-01,Patagonia,6836843
2018-04-01,CABA,1168852
2018-04-01,Cuyo,1196110
2018-04-01,Córdoba,2229056
2018-04-01,Litoral,2928924
2018-04-01,Norte,3614790
2018-04-01,PBA - Partidos del GBA,83421
2018-04-01,PBA - Resto,4163994
2018-04-01,Patagonia,1623856
2018-07-01,CABA,1172808
2018-07-01,Cuyo,1751143
2018-07-01,Córdoba,3212315
2018-07-01,Litoral,4253143
2018-07-01,Norte,5635556
2018-07-01,PBA - Partidos del GBA,367987
2018-07-01,PBA - Resto,4292932
2018-07-01,Patagonia,4334108
2018-10-01,CABA,1087070
2018-10-01,Cuyo,1765685
2018-10-01,Córdoba,3033460
2018-10-01,Litoral,5041377
2018-10-01,Norte,2130349
2018-10-01,PBA - Partidos del GBA,654796
2018-10-01,PBA - Resto,9375665
2018-10-01,Patagonia,2556783
2019-01-01,CABA,1001492
2019-01-01,Cuyo,4277344
2019-01-01,Córdoba,8659204
2019-01-01,Litoral,7692128
2019-01-01,Norte,5960188
2019-01-01,PBA - Partidos del GBA,354517
2019-01-01,PBA - Resto,36691949
2019-01-01,Patagonia,5554677
2019-04-01,CABA,1069528
2019-04-01,Cuyo,1254157
2019-04-01,Córdoba,2080945
2019-04-01,Litoral,2694152
2019-04-01,Norte,2433592
2019-04-01,PBA - Partidos del GBA,390456
2019-04-01,PBA - Resto,5313461
2019-04-01,Patagonia,1972145
2019-07-01,CABA,818897
2019-07-01,Cuyo,2173108
2019-07-01,Córdoba,3404713
2019-07-01,Litoral,5250414
2019-07-01,Norte,4653118
2019-07-01,PBA - Partidos del GBA,497141
2019-07-01,PBA - Resto,5277177
2019-07-01,Patagonia,4816830
2019-10-01,CABA,889428
2019-10-01,Cuyo,2672106
2019-10-01,Córdoba,3727347
2019-10-01,Litoral,3857953
2019-10-01,Norte,2758789
2019-10-01,PBA - Partidos del GBA,910495
2019-10-01,PBA - Resto,8613211
2019-10-01,Patagonia,3534856
2020-01-01,CABA,1911234
2020-01-01,Cuyo,4517104
2020-01-01,Córdoba,9918049
2020-01-01,Litoral,5732964
2020-01-01,Norte,4617707
2020-01-01,PBA - Partidos del GBA,441507
2020-01-01,PBA - Resto,30549328
2020-01-01,Patagonia,6638347
2020-04-01,CABA,32315
2020-04-01,Cuyo,59365
2020-04-01,Córdoba,1041133
2020-04-01,Litoral,180998
2020-04-01,Norte,457744
2020-04-01,PBA - Partidos del GBA,1764
2020-04-01,PBA - Resto,233594
2020-04-01,Patagonia,56052
2020-07-01,CABA,32158
2020-07-01,Cuyo,104675
2020-07-01,Córdoba,66273
2020-07-01,Litoral,298619
2020-07-01,Norte,190514
2020-07-01,PBA - Partidos del GBA,441298
2020-07-01,PBA - Resto,474505
2020-07-01,Patagonia,44172
2020-10-01,CABA,196200
2020-10-01,Cuyo,363097
2020-10-01,Córdoba,1043849
2020-10-01,Litoral,1483466
2020-10-01,Norte,815375
2020-10-01,PBA - Partidos del GBA,288961
2020-10-01,PBA - Resto,7924987
2020-10-01,Patagonia,1019970
2021-01-01,CABA,406317
2021-01-01,Cuyo,2749401
2021-01-01,Córdoba,4923282
2021-01-01,Litoral,4832485
2021-01-01,Norte,3196786
2021-01-01,PBA - Partidos del GBA,799800
2021-01-01,PBA - Resto,21193921
2021-01-01,Patagonia,3851557
2021-04-01,CABA,131216
2021-04-01,Cuyo,510991
2021-04-01,Córdoba,1260848
2021-04-01,Litoral,1875312
2021-04-01,Norte,1340855
2021-04-01,PBA - Partidos del GBA,273763
2021-04-01,PBA - Resto,1809614
2021-04-01,Patagonia,3083030
2021-07-01,CABA,613332
2021-07-01,Cuyo,1276651
2021-07-01,Córdoba,1272623
2021-07-01,Litoral,3393905
2021-07-01,Norte,2157582
2021-07-01,PBA - Partidos del GBA,180407
2021-07-01,PBA - Resto,5964160
2021-07-01,Patagonia,2835671
2021-10-01,CABA,698939
2021-10-01,Cuyo,1880840
2021-10-01,Córdoba,2598253
2021-10-01,Litoral,3408434
2021-10-01,Norte,3285405
2021-10-01,PBA - Partidos del GBA,307011
2021-10-01,PBA - Resto,8254137
2021-10-01,Patagonia,3039132
2022-01-01,CABA,664722
2022-01-01,Cuyo,5993580
2022-01-01,Córdoba,9788696
2022-01-01,Litoral,8831952
2022-01-01,Norte,6778073
2022-01-01,PBA - Partidos del GBA,659305
2022-01-01,PBA - Resto,41870321
2022-01-01,Patagonia,12656949
2022-04-01,CABA,688094
2022-04-01,Cuyo,1392825
2022-04-01,Córdoba,1855436
2022-04-01,Litoral,2326252
2022-04-01,Norte,2529753
2022-04-01,PBA - Partidos del GBA,460895
2022-04-01,PBA - Resto,5490098
2022-04-01,Patagonia,1930742
2022-07-01,CABA,1327333
2022-07-01,Cuyo,2222042
2022-07-01,Córdoba,2889345
2022-07-01,Litoral,4520543
2022-07-01,Norte,5166643
2022-07-01,PBA - Partidos del GBA,591841
2022-07-01,PBA - Resto,5032433
2022-07-01,Patagonia,2862077
2022-10-01,CABA,1488743
2022-10-01,Cuyo,1586243
2022-10-01,Córdoba,4537002
2022-10-01,Litoral,3843623
2022-10-01,Norte,3613691
2022-10-01,PBA - Partidos del GBA,2076787
2022-10-01,PBA - Resto,5530656
2022-10-01,Patagonia,1916510
2023-01-01,CABA,725198
2023-01-01,Cuyo,3424022
2023-01-01,Córdoba,9677870
2023-01-01,Litoral,8655037
2023-01-01,Norte,4919140
2023-01-01,PBA - Partidos del GBA,3123499
2023-01-01,PBA - Resto,40819141
2023-01-01,Patagonia,6744826
2023-04-01,CABA,565765
2023-04-01,Cuyo,1421785
2023-04-01,Córdoba,1557579
2023-04-01,Litoral,4023950
2023-04-01,Norte,1619505
2023-04-01,PBA - Partidos del GBA,213233
2023-04-01,PBA - Resto,5238021
2023-04-01,Patagonia,2589126
2023-07-01,CABA,1220587.09
2023-07-01,Cuyo,2439773.21
2023-07-01,Córdoba,3221286.12
2023-07-01,Litoral,2730198.58
2023-07-01,Norte,3455221.12
2023-07-01,PBA - Partidos del GBA,198324.26
2023-07-01,PBA - Resto,4843845.25
2023-07-01,Patagonia,3081532.22
2023-10-01,CABA,2060674
2023-10-01,Cuyo,1595045
2023-10-01,Córdoba,2100975
2023-10-01,Litoral,4282644
2023-10-01,Norte,2524392
2023-10-01,PBA - Partidos del GBA,899696
2023-10-01,PBA - Resto,7498425
2023-10-01,Patagonia,3342236
2024-01-01,CABA,1029796
2024-01-01,Cuyo,3190732
2024-01-01,Córdoba,8403779
2024-01-01,Litoral,6180727
2024-01-01,Norte,6021026
2024-01-01,PBA - Partidos del GBA,688869
2024-01-01,PBA - Resto,32998741
2024-01-01,Patagonia,5279442
2024-04-01,CABA,611018
2024-04-01,Cuyo,1179832
2024-04-01,Córdoba,2163356
2024-04-01,Litoral,2156089
2024-04-01,Norte,2228264
2024-04-01,PBA - Partidos del GBA,379001
2024-04-01,PBA - Resto,4951823
2024-04-01,Patagonia,1106359
