indice_tiempo,region_destino,gasto_pesos_corrientes
2016-10-01,Córdoba,1455722261
2016-10-01,Litoral,2566079529
2016-10-01,Norte,1825989483
2016-10-01,PBA - Partidos del GBA,165939914
2016-10-01,PBA - Resto,4813583072
2016-10-01,Patagonia,1871267203
2017-01-01,CABA,730274994
2017-01-01,Cuyo,2372889063
2017-01-01,Córdoba,6525294077
2017-01-01,Litoral,4716319582
2017-01-01,Norte,2368513316
2017-01-01,PBA - Partidos del GBA,569870792
2017-01-01,PBA - Resto,14938617954
2017-01-01,Patagonia,5424320686
2017-04-01,CABA,865540204
2017-04-01,Cuyo,895434881
2017-04-01,Córdoba,1460273571
2017-04-01,Litoral,2213532421
2017-04-01,Norte,1247356040
2017-04-01,PBA - Partidos del GBA,85593577
2017-04-01,PBA - Resto,2370071710
2017-04-01,Patagonia,1069641188
2017-07-01,CABA,1526086807
2017-07-01,Cuyo,2532404651
2017-07-01,Córdoba,2534020219
2017-07-01,Litoral,3871519419
2017-07-01,Norte,3923433119
2017-07-01,PBA - Partidos del GBA,145812979
2017-07-01,PBA - Resto,4630929397
2017-07-01,Patagonia,4092226161
2017-10-01,CABA,1283316157
2017-10-01,Cuyo,1615650753
2017-10-01,Córdoba,2938563835
2017-10-01,Litoral,2528150236
2017-10-01,Norte,2796969226
2017-10-01,PBA - Partidos del GBA,119851135
2017-10-01,PBA - Resto,5378566963
2017-10-01,Patagonia,2317051978
2018-01-01,CABA,928756099
2018-01-01,Cuyo,4769279556
2018-01-01,Córdoba,6602143744
2018-01-01,Litoral,4404567345
2018-01-01,Norte,3383171938
2018-01-01,PBA - Partidos del GBA,244562425
2018-01-01,PBA - Resto,19214820356
2018-01-01,Patagonia,5260974796
2018-04-01,CABA,1117412003
2018-04-01,Cuyo,984148795
2018-04-01,Córdoba,1733015646
2018-04-01,Litoral,2371948206
2018-04-01,Norte,2401563557
2018-04-01,PBA - Partidos del GBA,52463683
2018-04-01,PBA - Resto,2412764638
2018-04-01,Patagonia,1567618198
2018-07-01,CABA,1603321431
2018-07-01,Cuyo,1473360642
2018-07-01,Córdoba,1768193040
2018-07-01,Litoral,2725427311
2018-07-01,Norte,4703240029
2018-07-01,PBA - Partidos del GBA,186585527
2018-07-01,PBA - Resto,3095888401
2018-07-01,Patagonia,3763506829
2018-10-01,CABA,1057048914
2018-10-01,Cuyo,1853906487
2018-10-01,Córdoba,2526779016
2018-10-01,Litoral,3514567589
2018-10-01,Norte,1958734015
2018-10-01,PBA - Partidos del GBA,207553338
2018-10-01,PBA - Resto,6525812374
2018-10-01,Patagonia,3514186862
2019-01-01,CABA,1206518910
2019-01-01,Cuyo,3498478472
2019-01-01,Córdoba,7515574746
2019-01-01,Litoral,5347524128
2019-01-01,Norte,4662478421
2019-01-01,PBA - Partidos del GBA,209905863
2019-01-01,PBA - Resto,28050815706
2019-01-01,Patagonia,5928375787
2019-04-01,CABA,1268620399
2019-04-01,Cuyo,1450437160
2019-04-01,Córdoba,2021226951
2019-04-01,Litoral,2435146614
2019-04-01,Norte,3279895552
2019-04-01,PBA - Partidos del GBA,163296917
2019-04-01,PBA - Resto,3956280387
2019-04-01,Patagonia,2502366244
2019-07-01,CABA,1719478007
2019-07-01,Cuyo,2774847040
2019-07-01,Córdoba,4176235990
2019-07-01,Litoral,6046231363
2019-07-01,Norte,5441365693
2019-07-01,PBA - Partidos del GBA,350245695
2019-07-01,PBA - Resto,5719041058
2019-07-01,Patagonia,8948162025
2019-10-01,CABA,1481973602
2019-10-01,Cuyo,3276672601
2019-10-01,Córdoba,4835948716
2019-10-01,Litoral,4206433718
2019-10-01,Norte,3265433121
2019-10-01,PBA - Partidos del GBA,472041900
2019-10-01,PBA - Resto,9544975924
2019-10-01,Patagonia,5927012120
2020-01-01,CABA,1402199700
2020-01-01,Cuyo,5679448422
2020-01-01,Córdoba,9939985097
2020-01-01,Litoral,5018986783
2020-01-01,Norte,4763954438
2020-01-01,PBA - Partidos del GBA,486086167
2020-01-01,PBA - Resto,35223610322
2020-01-01,Patagonia,8909194131
2020-04-01,CABA,63992000
2020-04-01,Cuyo,26035000
2020-04-01,Córdoba,101115500
2020-04-01,Litoral,41981000
2020-04-01,Norte,206490000
2020-04-01,PBA - Partidos del GBA,2205000
