indice_tiempo,region_destino,estadia_media
2016-10-01,Patagonia,6.08
2017-01-01,CABA,6.66
2017-01-01,Cuyo,7.56
2017-01-01,Córdoba,7.52
2017-01-01,Litoral,6.7
2017-01-01,Norte,6.37
2017-01-01,PBA - Partidos del GBA,8.56
2017-01-01,PBA - Resto,7.25
2017-01-01,Patagonia,7.53
2017-04-01,CABA,5.31
2017-04-01,Cuyo,5.04
2017-04-01,Córdoba,4.24
2017-04-01,Litoral,3.8
2017-04-01,Norte,4.18
2017-04-01,PBA - Partidos del GBA,4
2017-04-01,PBA - Resto,3.85
2017-04-01,Patagonia,5.45
2017-07-01,CABA,4.02
2017-07-01,Cuyo,4.47
2017-07-01,Córdoba,4.34
2017-07-01,Litoral,5.37
2017-07-01,Norte,5.57
2017-07-01,PBA - Partidos del GBA,2.48
2017-07-01,PBA - Resto,3.38
2017-07-01,Patagonia,6.26
2017-10-01,CABA,4.06
2017-10-01,Cuyo,3.82
2017-10-01,Córdoba,5.6
2017-10-01,Litoral,3.46
2017-10-01,Norte,5.99
2017-10-01,PBA - Partidos del GBA,3.63
2017-10-01,PBA - Resto,3.98
2017-10-01,Patagonia,6.11
2018-01-01,CABA,7.37
2018-01-01,Cuyo,7.37
2018-01-01,Córdoba,6.4
2018-01-01,Litoral,6.66
2018-01-01,Norte,6.72
2018-01-01,PBA - Partidos del GBA,4.86
2018-01-01,PBA - Resto,6.95
2018-01-01,Patagonia,8.5
2018-04-01,CABA,5.57
2018-04-01,Cuyo,4.52
2018-04-01,Córdoba,3.89
2018-04-01,Litoral,3.57
2018-04-01,Norte,5.13
2018-04-01,PBA - Partidos del GBA,2.59
2018-04-01,PBA - Resto,3.29
2018-04-01,Patagonia,4.89
2018-07-01,CABA,5.41
2018-07-01,Cuyo,4.53
2018-07-01,Córdoba,4.08
2018-07-01,Litoral,4.26
2018-07-01,Norte,5.21
2018-07-01,PBA - Partidos del GBA,2.59
2018-07-01,PBA - Resto,3.36
2018-07-01,Patagonia,7.18
2018-10-01,CABA,4.65
2018-10-01,Cuyo,3.93
2018-10-01,Córdoba,3.69
2018-10-01,Litoral,4.28
2018-10-01,Norte,4.11
2018-10-01,PBA - Partidos del GBA,2.18
2018-10-01,PBA - Resto,3.88
2018-10-01,Patagonia,5.26
2019-01-01,CABA,5.39
2019-01-01,Cuyo,6.81
2019-01-01,Córdoba,6.41
2019-01-01,Litoral,5.22
2019-01-01,Norte,7.08
2019-01-01,PBA - Partidos del GBA,2.73
2019-01-01,PBA - Resto,7.8
2019-01-01,Patagonia,8.61
2019-04-01,CABA,5.26
2019-04-01,Cuyo,3.44
2019-04-01,Córdoba,4.82
2019-04-01,Litoral,3.31
2019-04-01,Norte,4.34
2019-04-01,PBA - Partidos del GBA,3.68
2019-04-01,PBA - Resto,3.65
2019-04-01,Patagonia,5.78
2019-07-01,CABA,4.67
2019-07-01,Cuyo,4.98
2019-07-01,Córdoba,4
2019-07-01,Litoral,4.43
2019-07-01,Norte,5.89
2019-07-01,PBA - Partidos del GBA,2.43
2019-07-01,PBA - Resto,3.06
2019-07-01,Patagonia,6.57
2019-10-01,CABA,5.59
2019-10-01,Cuyo,3.86
2019-10-01,Córdoba,4.1
2019-10-01,Litoral,3.81
2019-10-01,Norte,3.94
2019-10-01,PBA - Partidos del GBA,5.5
2019-10-01,PBA - Resto,3.69
2019-10-01,Patagonia,7.92
2020-01-01,CABA,9.91
2020-01-01,Cuyo,6.84
2020-01-01,Córdoba,8.05
2020-01-01,Litoral,4.87
2020-01-01,Norte,5.89
2020-01-01,PBA - Partidos del GBA,3.14
2020-01-01,PBA - Resto,7.72
2020-01-01,Patagonia,10.24
2020-04-01,CABA,1.99
2020-04-01,Cuyo,5.22
2020-04-01,Córdoba,43.7
2020-04-01,Litoral,7.59
2020-04-01,Norte,7
2020-04-01,PBA - Partidos del GBA,2
2020-04-01,PBA - Resto,7.81
2020-04-01,Patagonia,16.74
2020-07-01,CABA,2.25
2020-07-01,Cuyo,1.96
2020-07-01,Córdoba,2.37
2020-07-01,Litoral,2.24
2020-07-01,Norte,2
