indice_tiempo,localidad,origen_viajeros,viajeros,observaciones
2018-11-01,La Angostura,Total,8411,""
2018-11-01,La Angostura,Residentes,6918,""
2018-11-01,La Angostura,No residentes,1493,""
2018-11-01,La Falda,Total,10297,""
2018-11-01,La Falda,Residentes,10283,""
2018-11-01,La Falda,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-11-01,La Rioja,Total,5764,""
2018-11-01,La Rioja,Residentes,5545,""
2018-11-01,La Rioja,No residentes,219,""
2018-11-01,Las Grutas,Total,2845,""
2018-11-01,Las Grutas,Residentes,2792,""
2018-11-01,Las Grutas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-11-01,Malargue-Las Leñas,Total,2016,""
2018-11-01,Malargue-Las Leñas,Residentes,1738,""
2018-11-01,Malargue-Las Leñas,No residentes,278,""
2018-11-01,Mar Chiquita,Total,5742,""
2018-11-01,Mar Chiquita,Residentes,5742,""
2018-11-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-11-01,Mar del Plata,Total,81689,""
2018-11-01,Mar del Plata,Residentes,80434,""
2018-11-01,Mar del Plata,No residentes,1255,""
2018-11-01,Mendoza,Total,60849,""
2018-11-01,Mendoza,Residentes,32477,""
2018-11-01,Mendoza,No residentes,28372,""
2018-11-01,Merlo,Total,15101,""
2018-11-01,Merlo,Residentes,15061,""
2018-11-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-11-01,Mina Clavero,Total,6962,""
2018-11-01,Mina Clavero,Residentes,6926,""
2018-11-01,Mina Clavero,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-11-01,Neuquén,Total,21196,""
2018-11-01,Neuquén,Residentes,19413,""
2018-11-01,Neuquén,No residentes,1783,""
2018-11-01,Paraná,Total,10494,""
2018-11-01,Paraná,Residentes,10166,""
2018-11-01,Paraná,No residentes,328,""
2018-11-01,Pinamar,Total,23448,""
2018-11-01,Pinamar,Residentes,23370,""
2018-11-01,Pinamar,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-11-01,Posadas,Total,14037,""
2018-11-01,Posadas,Residentes,11156,""
2018-11-01,Posadas,No residentes,2881,""
2018-11-01,Puerto Iguazú,Total,50111,""
2018-11-01,Puerto Iguazú,Residentes,27244,""
2018-11-01,Puerto Iguazú,No residentes,22867,""
2018-11-01,Puerto Madryn,Total,18188,""
2018-11-01,Puerto Madryn,Residentes,12520,""
2018-11-01,Puerto Madryn,No residentes,5668,""
2018-11-01,Rafaela,Total,7855,""
2018-11-01,Rafaela,Residentes,7718,""
2018-11-01,Rafaela,No residentes,137,""
2018-11-01,Resistencia,Total,17137,""
2018-11-01,Resistencia,Residentes,16621,""
2018-11-01,Resistencia,No residentes,516,""
2018-11-01,Rio Gallegos,Total,8441,""
2018-11-01,Rio Gallegos,Residentes,7662,""
2018-11-01,Rio Gallegos,No residentes,779,""
2018-11-01,Rosario,Total,45617,""
2018-11-01,Rosario,Residentes,41113,""
2018-11-01,Rosario,No residentes,4504,""
2018-11-01,Río Cuarto,Total,9692,""
2018-11-01,Río Cuarto,Residentes,9528,""
2018-11-01,Río Cuarto,No residentes,164,""
2018-11-01,Salta,Total,59567,""
2018-11-01,Salta,Residentes,45986,""
2018-11-01,Salta,No residentes,13581,""
2018-11-01,San Juan,Total,11560,""
2018-11-01,San Juan,Residentes,10146,""
2018-11-01,San Juan,No residentes,1414,""
2018-11-01,San Luis,Total,11656,""
2018-11-01,San Luis,Residentes,11353,""
2018-11-01,San Luis,No residentes,303,""
2018-11-01,San Martín de los Andes,Total,13953,""
2018-11-01,San Martín de los Andes,Residentes,11691,""
2018-11-01,San Martín de los Andes,No residentes,2262,""
2018-11-01,San Rafael,Total,8166,""
2018-11-01,San Rafael,Residentes,7729,""
2018-11-01,San Rafael,No residentes,437,""
2018-11-01,Santa Fe,Total,14204,""
2018-11-01,Santa Fe,Residentes,13058,""
2018-11-01,Santa Fe,No residentes,1146,""
2018-11-01,Santa Rosa,Total,11841,""
2018-11-01,Santa Rosa,Residentes,11634,""
2018-11-01,Santa Rosa,No residentes,207,""
2018-11-01,Santiago del Estero,Total,10501,""
2018-11-01,Santiago del Estero,Residentes,10359,""
2018-11-01,Santiago del Estero,No residentes,142,""
2018-11-01,Tandil,Total,19412,""
2018-11-01,Tandil,Residentes,19307,""
2018-11-01,Tandil,No residentes,105,""
2018-11-01,Termas,Total,9012,""
2018-11-01,Termas,Residentes,8913,""
2018-11-01,Termas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-11-01,Tucumán,Total,25633,""
2018-11-01,Tucumán,Residentes,23998,""
2018-11-01,Tucumán,No residentes,1635,""
2018-11-01,Ushuaia,Total,33471,""
2018-11-01,Ushuaia,Residentes,15078,""
2018-11-01,Ushuaia,No residentes,18393,""
2018-11-01,Valle de Uco,Total,12835,""
2018-11-01,Valle de Uco,Residentes,7118,""
2018-11-01,Valle de Uco,No residentes,5717,""
2018-11-01,Viedma,Total,3090,""
2018-11-01,Viedma,Residentes,3065,""
2018-11-01,Viedma,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-11-01,Villa General Belgrano,Total,12399,""
2018-11-01,Villa General Belgrano,Residentes,12281,""
2018-11-01,Villa General Belgrano,No residentes,118,""
2018-11-01,Villa Gesell,Total,14662,""
2018-11-01,Villa Gesell,Residentes,14632,""
2018-11-01,Villa Gesell,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-12-01,Bahía Blanca,Total,8675,""
2018-12-01,Bahía Blanca,Residentes,8200,""
2018-12-01,Bahía Blanca,No residentes,475,""
2018-12-01,Bariloche,Total,53527,""
2018-12-01,Bariloche,Residentes,30120,""
2018-12-01,Bariloche,No residentes,23407,""
2018-12-01,CABA,Total,397657,""
2018-12-01,CABA,Residentes,183299,""
2018-12-01,CABA,No residentes,214358,""
2018-12-01,Cafayate,Total,5913,""
2018-12-01,Cafayate,Residentes,4090,""
2018-12-01,Cafayate,No residentes,1823,""
2018-12-01,Calafate,Total,56290,""
2018-12-01,Calafate,Residentes,21564,""
2018-12-01,Calafate,No residentes,34726,""
2018-12-01,Carlos Paz,Total,42723,""
2018-12-01,Carlos Paz,Residentes,42420,""
2018-12-01,Carlos Paz,No residentes,303,""
2018-12-01,Catamarca,Total,6117,""
2018-12-01,Catamarca,Residentes,6044,""
2018-12-01,Catamarca,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-12-01,Corrientes,Total,9852,""
2018-12-01,Corrientes,Residentes,8400,""
2018-12-01,Corrientes,No residentes,1452,""
2018-12-01,Córdoba,Total,29244,""
2018-12-01,Córdoba,Residentes,24595,""
2018-12-01,Córdoba,No residentes,4649,""
2018-12-01,Formosa,Total,8215,""
2018-12-01,Formosa,Residentes,7146,""
2018-12-01,Formosa,No residentes,1069,""
2018-12-01,Gualeguaychú,Total,7389,""
2018-12-01,Gualeguaychú,Residentes,7034,""
2018-12-01,Gualeguaychú,No residentes,355,""
2018-12-01,Jujuy,Total,8971,""
2018-12-01,Jujuy,Residentes,7747,""
2018-12-01,Jujuy,No residentes,1224,""
2018-12-01,La Angostura,Total,9643,""
2018-12-01,La Angostura,Residentes,7480,""
2018-12-01,La Angostura,No residentes,2163,""
2018-12-01,La Falda,Total,8816,""
2018-12-01,La Falda,Residentes,8711,""
2018-12-01,La Falda,No residentes,105,""
2018-12-01,La Rioja,Total,4510,""
2018-12-01,La Rioja,Residentes,4312,""
2018-12-01,La Rioja,No residentes,198,""
2018-12-01,Las Grutas,Total,5700,""
2018-12-01,Las Grutas,Residentes,5612,""
2018-12-01,Las Grutas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-12-01,Malargue-Las Leñas,Total,3778,""
2018-12-01,Malargue-Las Leñas,Residentes,3006,""
2018-12-01,Malargue-Las Leñas,No residentes,772,""
2018-12-01,Mar Chiquita,Total,5333,""
2018-12-01,Mar Chiquita,Residentes,5333,""
2018-12-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-12-01,Mar del Plata,Total,91925,""
2018-12-01,Mar del Plata,Residentes,90474,""
2018-12-01,Mar del Plata,No residentes,1451,""
2018-12-01,Mendoza,Total,47020,""
2018-12-01,Mendoza,Residentes,24093,""
2018-12-01,Mendoza,No residentes,22927,""
2018-12-01,Merlo,Total,10694,""
2018-12-01,Merlo,Residentes,10647,""
2018-12-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-12-01,Mina Clavero,Total,11962,""
2018-12-01,Mina Clavero,Residentes,11935,""
2018-12-01,Mina Clavero,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-12-01,Neuquén,Total,19988,""
2018-12-01,Neuquén,Residentes,18450,""
2018-12-01,Neuquén,No residentes,1538,""
2018-12-01,Paraná,Total,8351,""
2018-12-01,Paraná,Residentes,8189,""
2018-12-01,Paraná,No residentes,162,""
2018-12-01,Pinamar,Total,32817,""
2018-12-01,Pinamar,Residentes,32662,""
2018-12-01,Pinamar,No residentes,155,""
2018-12-01,Posadas,Total,12830,""
2018-12-01,Posadas,Residentes,9970,""
2018-12-01,Posadas,No residentes,2860,""
2018-12-01,Puerto Iguazú,Total,47475,""
2018-12-01,Puerto Iguazú,Residentes,24531,""
2018-12-01,Puerto Iguazú,No residentes,22944,""
2018-12-01,Puerto Madryn,Total,14360,""
2018-12-01,Puerto Madryn,Residentes,11591,""
2018-12-01,Puerto Madryn,No residentes,2769,""
2018-12-01,Rafaela,Total,7474,""
2018-12-01,Rafaela,Residentes,7362,""
2018-12-01,Rafaela,No residentes,112,""
2018-12-01,Resistencia,Total,11068,""
2018-12-01,Resistencia,Residentes,10412,""
2018-12-01,Resistencia,No residentes,656,""
2018-12-01,Rio Gallegos,Total,8826,""
2018-12-01,Rio Gallegos,Residentes,8160,""
2018-12-01,Rio Gallegos,No residentes,666,""
2018-12-01,Rosario,Total,37283,""
2018-12-01,Rosario,Residentes,33899,""
2018-12-01,Rosario,No residentes,3384,""
2018-12-01,Río Cuarto,Total,9208,""
2018-12-01,Río Cuarto,Residentes,9024,""
2018-12-01,Río Cuarto,No residentes,184,""
2018-12-01,Salta,Total,39398,""
2018-12-01,Salta,Residentes,29479,""
2018-12-01,Salta,No residentes,9919,""
2018-12-01,San Juan,Total,9988,""
2018-12-01,San Juan,Residentes,8654,""
2018-12-01,San Juan,No residentes,1334,""
2018-12-01,San Luis,Total,7893,""
2018-12-01,San Luis,Residentes,7520,""
2018-12-01,San Luis,No residentes,373,""
2018-12-01,San Martín de los Andes,Total,14295,""
2018-12-01,San Martín de los Andes,Residentes,12082,""
2018-12-01,San Martín de los Andes,No residentes,2213,""
2018-12-01,San Rafael,Total,6594,""
2018-12-01,San Rafael,Residentes,6308,""
2018-12-01,San Rafael,No residentes,286,""
2018-12-01,Santa Fe,Total,12410,""
2018-12-01,Santa Fe,Residentes,11624,""
2018-12-01,Santa Fe,No residentes,786,""
2018-12-01,Santa Rosa,Total,12555,""
2018-12-01,Santa Rosa,Residentes,12053,""
2018-12-01,Santa Rosa,No residentes,502,""
2018-12-01,Santiago del Estero,Total,10425,""
2018-12-01,Santiago del Estero,Residentes,10292,""
2018-12-01,Santiago del Estero,No residentes,133,""
2018-12-01,Tandil,Total,15865,""
2018-12-01,Tandil,Residentes,15758,""
2018-12-01,Tandil,No residentes,107,""
2018-12-01,Termas,Total,5610,""
2018-12-01,Termas,Residentes,5522,""
2018-12-01,Termas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-12-01,Tucumán,Total,19911,""
2018-12-01,Tucumán,Residentes,18923,""
2018-12-01,Tucumán,No residentes,988,""
2018-12-01,Ushuaia,Total,34008,""
2018-12-01,Ushuaia,Residentes,14557,""
2018-12-01,Ushuaia,No residentes,19451,""
2018-12-01,Valle de Uco,Total,15272,""
2018-12-01,Valle de Uco,Residentes,9033,""
2018-12-01,Valle de Uco,No residentes,6239,""
2018-12-01,Viedma,Total,2538,""
2018-12-01,Viedma,Residentes,2519,""
2018-12-01,Viedma,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-12-01,Villa General Belgrano,Total,11072,""
2018-12-01,Villa General Belgrano,Residentes,10870,""
2018-12-01,Villa General Belgrano,No residentes,202,""
2018-12-01,Villa Gesell,Total,32844,""
2018-12-01,Villa Gesell,Residentes,32783,""
2018-12-01,Villa Gesell,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-01-01,Bahía Blanca,Total,10666,""
2019-01-01,Bahía Blanca,Residentes,9990,""
2019-01-01,Bahía Blanca,No residentes,676,""
2019-01-01,Bariloche,Total,83855,""
2019-01-01,Bariloche,Residentes,59379,""
2019-01-01,Bariloche,No residentes,24476,""
2019-01-01,CABA,Total,372835,""
2019-01-01,CABA,Residentes,154357,""
2019-01-01,CABA,No residentes,218478,""
2019-01-01,Cafayate,Total,16636,""
2019-01-01,Cafayate,Residentes,14410,""
2019-01-01,Cafayate,No residentes,2226,""
2019-01-01,Calafate,Total,65398,""
2019-01-01,Calafate,Residentes,25740,""
2019-01-01,Calafate,No residentes,39658,""
2019-01-01,Carlos Paz,Total,82863,""
2019-01-01,Carlos Paz,Residentes,82507,""
2019-01-01,Carlos Paz,No residentes,356,""
2019-01-01,Catamarca,Total,5110,""
2019-01-01,Catamarca,Residentes,5038,""
2019-01-01,Catamarca,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-01-01,Corrientes,Total,16850,""
2019-01-01,Corrientes,Residentes,13428,""
2019-01-01,Corrientes,No residentes,3422,""
2019-01-01,Córdoba,Total,35026,""
2019-01-01,Córdoba,Residentes,28511,""
2019-01-01,Córdoba,No residentes,6515,""
2019-01-01,Formosa,Total,9200,""
2019-01-01,Formosa,Residentes,7799,""
2019-01-01,Formosa,No residentes,1401,""
2019-01-01,Gualeguaychú,Total,9628,""
2019-01-01,Gualeguaychú,Residentes,9355,""
2019-01-01,Gualeguaychú,No residentes,273,""
2019-01-01,Jujuy,Total,10872,""
2019-01-01,Jujuy,Residentes,8891,""
2019-01-01,Jujuy,No residentes,1981,""
2019-01-01,La Angostura,Total,16546,""
2019-01-01,La Angostura,Residentes,14076,""
2019-01-01,La Angostura,No residentes,2470,""
2019-01-01,La Falda,Total,21371,""
2019-01-01,La Falda,Residentes,21272,""
2019-01-01,La Falda,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-01-01,La Rioja,Total,5028,""
2019-01-01,La Rioja,Residentes,4792,""
2019-01-01,La Rioja,No residentes,236,""
2019-01-01,Las Grutas,Total,15616,""
2019-01-01,Las Grutas,Residentes,15483,""
2019-01-01,Las Grutas,No residentes,133,""
2019-01-01,Malargue-Las Leñas,Total,4699,""
2019-01-01,Malargue-Las Leñas,Residentes,4278,""
2019-01-01,Malargue-Las Leñas,No residentes,421,""
2019-01-01,Mar Chiquita,Total,6963,""
2019-01-01,Mar Chiquita,Residentes,6963,""
2019-01-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-01-01,Mar del Plata,Total,209715,""
2019-01-01,Mar del Plata,Residentes,207821,""
2019-01-01,Mar del Plata,No residentes,1894,""
2019-01-01,Mendoza,Total,63256,""
2019-01-01,Mendoza,Residentes,36374,""
2019-01-01,Mendoza,No residentes,26882,""
2019-01-01,Merlo,Total,20292,""
2019-01-01,Merlo,Residentes,20232,""
2019-01-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-01-01,Mina Clavero,Total,21208,""
2019-01-01,Mina Clavero,Residentes,21084,""
2019-01-01,Mina Clavero,No residentes,124,""
2019-01-01,Neuquén,Total,23424,""
2019-01-01,Neuquén,Residentes,21742,""
2019-01-01,Neuquén,No residentes,1682,""
2019-01-01,Paraná,Total,8371,""
2019-01-01,Paraná,Residentes,8063,""
2019-01-01,Paraná,No residentes,308,""
2019-01-01,Pinamar,Total,48901,""
2019-01-01,Pinamar,Residentes,48589,""
2019-01-01,Pinamar,No residentes,312,""
2019-01-01,Posadas,Total,17174,""
2019-01-01,Posadas,Residentes,13143,""
2019-01-01,Posadas,No residentes,4031,""
2019-01-01,Puerto Iguazú,Total,61282,""
2019-01-01,Puerto Iguazú,Residentes,33178,""
2019-01-01,Puerto Iguazú,No residentes,28104,""
2019-01-01,Puerto Madryn,Total,25659,""
2019-01-01,Puerto Madryn,Residentes,22764,""
2019-01-01,Puerto Madryn,No residentes,2895,""
2019-01-01,Rafaela,Total,6395,""
2019-01-01,Rafaela,Residentes,6333,""
2019-01-01,Rafaela,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-01-01,Resistencia,Total,13300,""
2019-01-01,Resistencia,Residentes,12387,""
2019-01-01,Resistencia,No residentes,913,""
2019-01-01,Rio Gallegos,Total,9429,""
2019-01-01,Rio Gallegos,Residentes,8646,""
2019-01-01,Rio Gallegos,No residentes,783,""
2019-01-01,Rosario,Total,38005,""
2019-01-01,Rosario,Residentes,32284,""
2019-01-01,Rosario,No residentes,5721,""
2019-01-01,Río Cuarto,Total,11897,""
2019-01-01,Río Cuarto,Residentes,11602,""
2019-01-01,Río Cuarto,No residentes,295,""
2019-01-01,Salta,Total,60240,""
2019-01-01,Salta,Residentes,47250,""
2019-01-01,Salta,No residentes,12990,""
2019-01-01,San Juan,Total,11852,""
2019-01-01,San Juan,Residentes,10781,""
2019-01-01,San Juan,No residentes,1071,""
2019-01-01,San Luis,Total,14223,""
2019-01-01,San Luis,Residentes,13135,""
2019-01-01,San Luis,No residentes,1088,""
2019-01-01,San Martín de los Andes,Total,29575,""
2019-01-01,San Martín de los Andes,Residentes,24164,""
2019-01-01,San Martín de los Andes,No residentes,5411,""
2019-01-01,San Rafael,Total,15533,""
2019-01-01,San Rafael,Residentes,15055,""
2019-01-01,San Rafael,No residentes,478,""
2019-01-01,Santa Fe,Total,9700,""
2019-01-01,Santa Fe,Residentes,8727,""
2019-01-01,Santa Fe,No residentes,973,""
2019-01-01,Santa Rosa,Total,22929,""
2019-01-01,Santa Rosa,Residentes,22542,""
2019-01-01,Santa Rosa,No residentes,387,""
2019-01-01,Santiago del Estero,Total,10725,""
2019-01-01,Santiago del Estero,Residentes,10542,""
2019-01-01,Santiago del Estero,No residentes,183,""
2019-01-01,Tandil,Total,17849,""
2019-01-01,Tandil,Residentes,17689,""
2019-01-01,Tandil,No residentes,160,""
2019-01-01,Termas,Total,8532,""
2019-01-01,Termas,Residentes,8443,""
2019-01-01,Termas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-01-01,Tucumán,Total,23885,""
2019-01-01,Tucumán,Residentes,22779,""
2019-01-01,Tucumán,No residentes,1106,""
2019-01-01,Ushuaia,Total,40785,""
2019-01-01,Ushuaia,Residentes,16064,""
2019-01-01,Ushuaia,No residentes,24721,""
2019-01-01,Valle de Uco,Total,15299,""
2019-01-01,Valle de Uco,Residentes,11665,""
2019-01-01,Valle de Uco,No residentes,3634,""
2019-01-01,Viedma,Total,3383,""
2019-01-01,Viedma,Residentes,3317,""
2019-01-01,Viedma,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-01-01,Villa General Belgrano,Total,20502,""
2019-01-01,Villa General Belgrano,Residentes,20328,""
2019-01-01,Villa General Belgrano,No residentes,174,""
2019-01-01,Villa Gesell,Total,107857,""
2019-01-01,Villa Gesell,Residentes,107471,""
2019-01-01,Villa Gesell,No residentes,386,""
2019-02-01,Bahía Blanca,Total,10139,""
2019-02-01,Bahía Blanca,Residentes,9619,""
2019-02-01,Bahía Blanca,No residentes,520,""
2019-02-01,Bariloche,Total,67040,""
2019-02-01,Bariloche,Residentes,45492,""
2019-02-01,Bariloche,No residentes,21548,""
2019-02-01,CABA,Total,355898,""
2019-02-01,CABA,Residentes,166469,""
2019-02-01,CABA,No residentes,189429,""
2019-02-01,Cafayate,Total,12243,""
2019-02-01,Cafayate,Residentes,10454,""
2019-02-01,Cafayate,No residentes,1789,""
2019-02-01,Calafate,Total,59841,""
2019-02-01,Calafate,Residentes,25764,""
2019-02-01,Calafate,No residentes,34077,""
2019-02-01,Carlos Paz,Total,77058,""
2019-02-01,Carlos Paz,Residentes,76297,""
2019-02-01,Carlos Paz,No residentes,761,""
2019-02-01,Catamarca,Total,4800,""
2019-02-01,Catamarca,Residentes,4707,""
2019-02-01,Catamarca,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-02-01,Corrientes,Total,13868,""
2019-02-01,Corrientes,Residentes,11764,""
2019-02-01,Corrientes,No residentes,2104,""
2019-02-01,Córdoba,Total,36877,""
2019-02-01,Córdoba,Residentes,31368,""
2019-02-01,Córdoba,No residentes,5509,""
2019-02-01,Formosa,Total,9009,""
2019-02-01,Formosa,Residentes,7731,""
2019-02-01,Formosa,No residentes,1278,""
2019-02-01,Gualeguaychú,Total,9867,""
2019-02-01,Gualeguaychú,Residentes,9529,""
2019-02-01,Gualeguaychú,No residentes,338,""
2019-02-01,Jujuy,Total,9834,""
2019-02-01,Jujuy,Residentes,8385,""
2019-02-01,Jujuy,No residentes,1449,""
2019-02-01,La Angostura,Total,13697,""
2019-02-01,La Angostura,Residentes,10166,""
2019-02-01,La Angostura,No residentes,3531,""
2019-02-01,La Falda,Total,17215,""
2019-02-01,La Falda,Residentes,17144,""
2019-02-01,La Falda,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-02-01,La Rioja,Total,5856,""
2019-02-01,La Rioja,Residentes,5612,""
2019-02-01,La Rioja,No residentes,244,""
2019-02-01,Las Grutas,Total,13589,""
2019-02-01,Las Grutas,Residentes,13443,""
2019-02-01,Las Grutas,No residentes,146,""
2019-02-01,Malargue-Las Leñas,Total,3589,""
2019-02-01,Malargue-Las Leñas,Residentes,3073,""
2019-02-01,Malargue-Las Leñas,No residentes,516,""
2019-02-01,Mar Chiquita,Total,7547,""
2019-02-01,Mar Chiquita,Residentes,7547,""
2019-02-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-02-01,Mar del Plata,Total,173030,""
2019-02-01,Mar del Plata,Residentes,171208,""
2019-02-01,Mar del Plata,No residentes,1822,""
2019-02-01,Mendoza,Total,56969,""
2019-02-01,Mendoza,Residentes,32570,""
2019-02-01,Mendoza,No residentes,24399,""
2019-02-01,Merlo,Total,17124,""
2019-02-01,Merlo,Residentes,17082,""
2019-02-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-02-01,Mina Clavero,Total,22897,""
2019-02-01,Mina Clavero,Residentes,22836,""
2019-02-01,Mina Clavero,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-02-01,Neuquén,Total,13065,""
2019-02-01,Neuquén,Residentes,11516,""
2019-02-01,Neuquén,No residentes,1549,""
2019-02-01,Paraná,Total,7751,""
2019-02-01,Paraná,Residentes,7579,""
2019-02-01,Paraná,No residentes,172,""
2019-02-01,Pinamar,Total,47898,""
2019-02-01,Pinamar,Residentes,47738,""
2019-02-01,Pinamar,No residentes,160,""
2019-02-01,Posadas,Total,15619,""
2019-02-01,Posadas,Residentes,12655,""
2019-02-01,Posadas,No residentes,2964,""
2019-02-01,Puerto Iguazú,Total,48897,""
2019-02-01,Puerto Iguazú,Residentes,27333,""
2019-02-01,Puerto Iguazú,No residentes,21564,""
2019-02-01,Puerto Madryn,Total,18949,""
2019-02-01,Puerto Madryn,Residentes,16595,""
2019-02-01,Puerto Madryn,No residentes,2354,""
2019-02-01,Rafaela,Total,5994,""
2019-02-01,Rafaela,Residentes,5902,""
2019-02-01,Rafaela,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-02-01,Resistencia,Total,13163,""
2019-02-01,Resistencia,Residentes,12460,""
2019-02-01,Resistencia,No residentes,703,""
2019-02-01,Rio Gallegos,Total,9790,""
2019-02-01,Rio Gallegos,Residentes,9012,""
2019-02-01,Rio Gallegos,No residentes,778,""
2019-02-01,Rosario,Total,39191,""
2019-02-01,Rosario,Residentes,34448,""
2019-02-01,Rosario,No residentes,4743,""
2019-02-01,Río Cuarto,Total,10482,""
2019-02-01,Río Cuarto,Residentes,10250,""
2019-02-01,Río Cuarto,No residentes,232,""
2019-02-01,Salta,Total,53267,""
2019-02-01,Salta,Residentes,41405,""
2019-02-01,Salta,No residentes,11862,""
2019-02-01,San Juan,Total,13041,""
2019-02-01,San Juan,Residentes,11740,""
2019-02-01,San Juan,No residentes,1301,""
2019-02-01,San Luis,Total,11136,""
2019-02-01,San Luis,Residentes,10524,""
2019-02-01,San Luis,No residentes,612,""
2019-02-01,San Martín de los Andes,Total,22733,""
2019-02-01,San Martín de los Andes,Residentes,15250,""
2019-02-01,San Martín de los Andes,No residentes,7483,""
2019-02-01,San Rafael,Total,13093,""
2019-02-01,San Rafael,Residentes,12691,""
2019-02-01,San Rafael,No residentes,402,""
2019-02-01,Santa Fe,Total,10243,""
2019-02-01,Santa Fe,Residentes,9537,""
2019-02-01,Santa Fe,No residentes,706,""
2019-02-01,Santa Rosa,Total,18345,""
2019-02-01,Santa Rosa,Residentes,18030,""
2019-02-01,Santa Rosa,No residentes,315,""
2019-02-01,Santiago del Estero,Total,10734,""
2019-02-01,Santiago del Estero,Residentes,10554,""
2019-02-01,Santiago del Estero,No residentes,180,""
2019-02-01,Tandil,Total,14341,""
2019-02-01,Tandil,Residentes,14203,""
2019-02-01,Tandil,No residentes,138,""
2019-02-01,Termas,Total,7968,""
2019-02-01,Termas,Residentes,7879,""
2019-02-01,Termas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-02-01,Tucumán,Total,23630,""
2019-02-01,Tucumán,Residentes,22523,""
2019-02-01,Tucumán,No residentes,1107,""
2019-02-01,Ushuaia,Total,34245,""
2019-02-01,Ushuaia,Residentes,15883,""
2019-02-01,Ushuaia,No residentes,18362,""
2019-02-01,Valle de Uco,Total,13379,""
2019-02-01,Valle de Uco,Residentes,10091,""
2019-02-01,Valle de Uco,No residentes,3288,""
2019-02-01,Viedma,Total,2378,""
2019-02-01,Viedma,Residentes,2327,""
2019-02-01,Viedma,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-02-01,Villa General Belgrano,Total,20534,""
2019-02-01,Villa General Belgrano,Residentes,20392,""
2019-02-01,Villa General Belgrano,No residentes,142,""
2019-02-01,Villa Gesell,Total,104003,""
2019-02-01,Villa Gesell,Residentes,103844,""
2019-02-01,Villa Gesell,No residentes,159,""
2019-03-01,Bahía Blanca,Total,10387,""
2019-03-01,Bahía Blanca,Residentes,9754,""
2019-03-01,Bahía Blanca,No residentes,633,""
2019-03-01,Bariloche,Total,59524,""
2019-03-01,Bariloche,Residentes,43659,""
2019-03-01,Bariloche,No residentes,15865,""
2019-03-01,CABA,Total,420176,""
2019-03-01,CABA,Residentes,201616,""
2019-03-01,CABA,No residentes,218560,""
2019-03-01,Cafayate,Total,10549,""
2019-03-01,Cafayate,Residentes,8316,""
2019-03-01,Cafayate,No residentes,2233,""
2019-03-01,Calafate,Total,48977,""
2019-03-01,Calafate,Residentes,17729,""
2019-03-01,Calafate,No residentes,31248,""
2019-03-01,Carlos Paz,Total,55105,""
2019-03-01,Carlos Paz,Residentes,53771,""
2019-03-01,Carlos Paz,No residentes,1334,""
2019-03-01,Catamarca,Total,6334,""
2019-03-01,Catamarca,Residentes,6245,""
2019-03-01,Catamarca,No residentes,89,""
2019-03-01,Corrientes,Total,10880,""
2019-03-01,Corrientes,Residentes,9252,""
2019-03-01,Corrientes,No residentes,1628,""
