indice_tiempo,localidad,origen_viajeros,viajeros,observaciones
2018-01-01,Santa Fe,No residentes,948,""
2018-01-01,Santa Rosa,Total,20851,""
2018-01-01,Santa Rosa,Residentes,20304,""
2018-01-01,Santa Rosa,No residentes,547,""
2018-01-01,Santiago del Estero,Total,10258,""
2018-01-01,Santiago del Estero,Residentes,10025,""
2018-01-01,Santiago del Estero,No residentes,233,""
2018-01-01,Tandil,Total,16268,""
2018-01-01,Tandil,Residentes,16145,""
2018-01-01,Tandil,No residentes,123,""
2018-01-01,Termas,Total,5672,""
2018-01-01,Termas,Residentes,5629,""
2018-01-01,Termas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-01-01,Tucumán,Total,24778,""
2018-01-01,Tucumán,Residentes,23574,""
2018-01-01,Tucumán,No residentes,1204,""
2018-01-01,Ushuaia,Total,37910,""
2018-01-01,Ushuaia,Residentes,17142,""
2018-01-01,Ushuaia,No residentes,20768,""
2018-01-01,Valle de Uco,Total,14914,""
2018-01-01,Valle de Uco,Residentes,9745,""
2018-01-01,Valle de Uco,No residentes,5169,""
2018-01-01,Viedma,Total,4331,""
2018-01-01,Viedma,Residentes,4199,""
2018-01-01,Viedma,No residentes,132,""
2018-01-01,Villa General Belgrano,Total,17091,""
2018-01-01,Villa General Belgrano,Residentes,16885,""
2018-01-01,Villa General Belgrano,No residentes,206,""
2018-01-01,Villa Gesell,Total,87740,""
2018-01-01,Villa Gesell,Residentes,87507,""
2018-01-01,Villa Gesell,No residentes,233,""
2018-02-01,Bahía Blanca,Total,10573,""
2018-02-01,Bahía Blanca,Residentes,10139,""
2018-02-01,Bahía Blanca,No residentes,434,""
2018-02-01,Bariloche,Total,76537,""
2018-02-01,Bariloche,Residentes,55087,""
2018-02-01,Bariloche,No residentes,21450,""
2018-02-01,CABA,Total,367188,""
2018-02-01,CABA,Residentes,187539,""
2018-02-01,CABA,No residentes,179649,""
2018-02-01,Cafayate,Total,13377,""
2018-02-01,Cafayate,Residentes,11957,""
2018-02-01,Cafayate,No residentes,1420,""
2018-02-01,Calafate,Total,69915,""
2018-02-01,Calafate,Residentes,37223,""
2018-02-01,Calafate,No residentes,32692,""
2018-02-01,Carlos Paz,Total,72118,""
2018-02-01,Carlos Paz,Residentes,72010,""
2018-02-01,Carlos Paz,No residentes,108,""
2018-02-01,Catamarca,Total,6055,""
2018-02-01,Catamarca,Residentes,5986,""
2018-02-01,Catamarca,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Corrientes,Total,15775,""
2018-02-01,Corrientes,Residentes,13282,""
2018-02-01,Corrientes,No residentes,2493,""
2018-02-01,Córdoba,Total,37938,""
2018-02-01,Córdoba,Residentes,30694,""
2018-02-01,Córdoba,No residentes,7244,""
2018-02-01,Formosa,Total,10692,""
2018-02-01,Formosa,Residentes,9521,""
2018-02-01,Formosa,No residentes,1171,""
2018-02-01,Gualeguaychú,Total,16364,""
2018-02-01,Gualeguaychú,Residentes,16248,""
2018-02-01,Gualeguaychú,No residentes,116,""
2018-02-01,Jujuy,Total,13640,""
2018-02-01,Jujuy,Residentes,12240,""
2018-02-01,Jujuy,No residentes,1400,""
2018-02-01,La Angostura,Total,16561,""
2018-02-01,La Angostura,Residentes,13540,""
2018-02-01,La Angostura,No residentes,3021,""
2018-02-01,La Falda,Total,17239,""
2018-02-01,La Falda,Residentes,17230,""
2018-02-01,La Falda,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,La Rioja,Total,6157,""
2018-02-01,La Rioja,Residentes,5959,""
2018-02-01,La Rioja,No residentes,198,""
2018-02-01,Las Grutas,Total,11378,""
2018-02-01,Las Grutas,Residentes,11297,""
2018-02-01,Las Grutas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Malargue-Las Leñas,Total,5682,""
2018-02-01,Malargue-Las Leñas,Residentes,5115,""
2018-02-01,Malargue-Las Leñas,No residentes,567,""
2018-02-01,Mar Chiquita,Total,6823,""
2018-02-01,Mar Chiquita,Residentes,6823,""
2018-02-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Mar del Plata,Total,190745,""
2018-02-01,Mar del Plata,Residentes,189534,""
2018-02-01,Mar del Plata,No residentes,1211,""
2018-02-01,Mendoza,Total,55090,""
2018-02-01,Mendoza,Residentes,33702,""
2018-02-01,Mendoza,No residentes,21388,""
2018-02-01,Merlo,Total,18520,""
2018-02-01,Merlo,Residentes,18475,""
2018-02-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Mina Clavero,Total,18551,""
2018-02-01,Mina Clavero,Residentes,18542,""
2018-02-01,Mina Clavero,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Neuquén,Total,20115,""
2018-02-01,Neuquén,Residentes,18719,""
2018-02-01,Neuquén,No residentes,1396,""
2018-02-01,Paraná,Total,7635,""
2018-02-01,Paraná,Residentes,7464,""
2018-02-01,Paraná,No residentes,171,""
2018-02-01,Pinamar,Total,49947,""
2018-02-01,Pinamar,Residentes,49808,""
2018-02-01,Pinamar,No residentes,139,""
2018-02-01,Posadas,Total,16689,""
2018-02-01,Posadas,Residentes,13493,""
2018-02-01,Posadas,No residentes,3196,""
2018-02-01,Puerto Iguazú,Total,46921,""
2018-02-01,Puerto Iguazú,Residentes,27471,""
2018-02-01,Puerto Iguazú,No residentes,19450,""
2018-02-01,Puerto Madryn,Total,19949,""
2018-02-01,Puerto Madryn,Residentes,18424,""
2018-02-01,Puerto Madryn,No residentes,1525,""
2018-02-01,Rafaela,Total,4961,""
2018-02-01,Rafaela,Residentes,4871,""
2018-02-01,Rafaela,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Resistencia,Total,17232,""
2018-02-01,Resistencia,Residentes,16516,""
2018-02-01,Resistencia,No residentes,716,""
2018-02-01,Rio Gallegos,Total,9326,""
2018-02-01,Rio Gallegos,Residentes,7976,""
2018-02-01,Rio Gallegos,No residentes,1350,""
2018-02-01,Rosario,Total,40980,""
2018-02-01,Rosario,Residentes,37613,""
2018-02-01,Rosario,No residentes,3367,""
2018-02-01,Río Cuarto,Total,11752,""
2018-02-01,Río Cuarto,Residentes,11458,""
2018-02-01,Río Cuarto,No residentes,294,""
2018-02-01,Salta,Total,52004,""
2018-02-01,Salta,Residentes,41484,""
2018-02-01,Salta,No residentes,10520,""
2018-02-01,San Juan,Total,11024,""
2018-02-01,San Juan,Residentes,9532,""
2018-02-01,San Juan,No residentes,1492,""
2018-02-01,San Luis,Total,13381,""
2018-02-01,San Luis,Residentes,12969,""
2018-02-01,San Luis,No residentes,412,""
2018-02-01,San Martín de los Andes,Total,21934,""
2018-02-01,San Martín de los Andes,Residentes,17515,""
2018-02-01,San Martín de los Andes,No residentes,4419,""
2018-02-01,San Rafael,Total,15013,""
2018-02-01,San Rafael,Residentes,14595,""
2018-02-01,San Rafael,No residentes,418,""
2018-02-01,Santa Fe,Total,12933,""
2018-02-01,Santa Fe,Residentes,11957,""
2018-02-01,Santa Fe,No residentes,976,""
2018-02-01,Santa Rosa,Total,15000,""
2018-02-01,Santa Rosa,Residentes,14657,""
2018-02-01,Santa Rosa,No residentes,343,""
2018-02-01,Santiago del Estero,Total,10149,""
2018-02-01,Santiago del Estero,Residentes,9991,""
2018-02-01,Santiago del Estero,No residentes,158,""
2018-02-01,Tandil,Total,15259,""
2018-02-01,Tandil,Residentes,15150,""
2018-02-01,Tandil,No residentes,109,""
2018-02-01,Termas,Total,7438,""
2018-02-01,Termas,Residentes,7385,""
2018-02-01,Termas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Tucumán,Total,22801,""
2018-02-01,Tucumán,Residentes,21761,""
2018-02-01,Tucumán,No residentes,1040,""
2018-02-01,Ushuaia,Total,33009,""
2018-02-01,Ushuaia,Residentes,16009,""
2018-02-01,Ushuaia,No residentes,17000,""
2018-02-01,Valle de Uco,Total,13893,""
2018-02-01,Valle de Uco,Residentes,8947,""
2018-02-01,Valle de Uco,No residentes,4946,""
2018-02-01,Viedma,Total,3598,""
2018-02-01,Viedma,Residentes,3514,""
2018-02-01,Viedma,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-02-01,Villa General Belgrano,Total,17094,""
2018-02-01,Villa General Belgrano,Residentes,16858,""
2018-02-01,Villa General Belgrano,No residentes,236,""
2018-02-01,Villa Gesell,Total,95539,""
2018-02-01,Villa Gesell,Residentes,95460,""
2018-02-01,Villa Gesell,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Bahía Blanca,Total,10063,""
2018-03-01,Bahía Blanca,Residentes,9699,""
2018-03-01,Bahía Blanca,No residentes,364,""
2018-03-01,Bariloche,Total,51311,""
2018-03-01,Bariloche,Residentes,38069,""
2018-03-01,Bariloche,No residentes,13242,""
2018-03-01,CABA,Total,441944,""
2018-03-01,CABA,Residentes,236740,""
2018-03-01,CABA,No residentes,205204,""
2018-03-01,Cafayate,Total,8856,""
2018-03-01,Cafayate,Residentes,6990,""
2018-03-01,Cafayate,No residentes,1866,""
2018-03-01,Calafate,Total,51065,""
2018-03-01,Calafate,Residentes,27799,""
2018-03-01,Calafate,No residentes,23266,""
2018-03-01,Carlos Paz,Total,47548,""
2018-03-01,Carlos Paz,Residentes,47383,""
2018-03-01,Carlos Paz,No residentes,165,""
2018-03-01,Catamarca,Total,7162,""
2018-03-01,Catamarca,Residentes,7109,""
2018-03-01,Catamarca,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-03-01,Corrientes,Total,12004,""
2018-03-01,Corrientes,Residentes,10103,""
2018-03-01,Corrientes,No residentes,1901,""
2018-03-01,Córdoba,Total,37833,""
2018-03-01,Córdoba,Residentes,31460,""
2018-03-01,Córdoba,No residentes,6373,""
2018-03-01,Formosa,Total,11180,""
2018-03-01,Formosa,Residentes,9992,""
2018-03-01,Formosa,No residentes,1188,""
