indice_tiempo,region_de_destino,origen_viajeros,estadia_media_en_noches,observaciones
2007-06-01,Norte,Residentes,1.8,""
2007-06-01,Norte,No residentes,1.8,""
2007-06-01,Patagonia,Total,2.2,""
2007-06-01,Patagonia,Residentes,2.1,""
2007-06-01,Patagonia,No residentes,2.4,""
2007-07-01,Buenos Aires,Total,2.8,""
2007-07-01,Buenos Aires,Residentes,2.8,""
2007-07-01,Buenos Aires,No residentes,2.6,""
2007-07-01,CABA,Total,2.3,""
2007-07-01,CABA,Residentes,2.3,""
2007-07-01,CABA,No residentes,2.3,""
2007-07-01,Cuyo,Total,2.1,""
2007-07-01,Cuyo,Residentes,2.1,""
2007-07-01,Cuyo,No residentes,2.2,""
2007-07-01,Córdoba,Total,2.4,""
2007-07-01,Córdoba,Residentes,2.4,""
2007-07-01,Córdoba,No residentes,2.2,""
2007-07-01,Litoral,Total,1.7,""
2007-07-01,Litoral,Residentes,1.7,""
2007-07-01,Litoral,No residentes,2,""
2007-07-01,Norte,Total,1.8,""
2007-07-01,Norte,Residentes,1.8,""
2007-07-01,Norte,No residentes,1.7,""
2007-07-01,Patagonia,Total,3.2,""
2007-07-01,Patagonia,Residentes,2.9,""
2007-07-01,Patagonia,No residentes,4.1,""
2007-08-01,Buenos Aires,Total,2.5,""
2007-08-01,Buenos Aires,Residentes,2.5,""
2007-08-01,Buenos Aires,No residentes,2.7,""
2007-08-01,CABA,Total,2.2,""
2007-08-01,CABA,Residentes,2.2,""
2007-08-01,CABA,No residentes,2.2,""
2007-08-01,Cuyo,Total,2,""
2007-08-01,Cuyo,Residentes,2,""
2007-08-01,Cuyo,No residentes,2.2,""
2007-08-01,Córdoba,Total,1.9,""
2007-08-01,Córdoba,Residentes,1.9,""
2007-08-01,Córdoba,No residentes,2.2,""
2007-08-01,Litoral,Total,1.7,""
2007-08-01,Litoral,Residentes,1.6,""
2007-08-01,Litoral,No residentes,1.9,""
2007-08-01,Norte,Total,1.8,""
2007-08-01,Norte,Residentes,1.9,""
2007-08-01,Norte,No residentes,1.7,""
2007-08-01,Patagonia,Total,3.2,""
2007-08-01,Patagonia,Residentes,3,""
2007-08-01,Patagonia,No residentes,3.5,""
2007-09-01,Buenos Aires,Total,2.4,""
2007-09-01,Buenos Aires,Residentes,2.4,""
2007-09-01,Buenos Aires,No residentes,2.7,""
2007-09-01,CABA,Total,2.2,""
2007-09-01,CABA,Residentes,2.2,""
2007-09-01,CABA,No residentes,2.2,""
2007-09-01,Cuyo,Total,1.9,""
2007-09-01,Cuyo,Residentes,1.9,""
2007-09-01,Cuyo,No residentes,2.2,""
2007-09-01,Córdoba,Total,1.9,""
2007-09-01,Córdoba,Residentes,1.9,""
2007-09-01,Córdoba,No residentes,2.2,""
2007-09-01,Litoral,Total,1.8,""
2007-09-01,Litoral,Residentes,1.8,""
2007-09-01,Litoral,No residentes,2,""
2007-09-01,Norte,Total,2.2,""
2007-09-01,Norte,Residentes,2.2,""
2007-09-01,Norte,No residentes,2.1,""
2007-09-01,Patagonia,Total,3,""
2007-09-01,Patagonia,Residentes,3.1,""
2007-09-01,Patagonia,No residentes,2.8,""
2007-10-01,Buenos Aires,Total,2.9,""
2007-10-01,Buenos Aires,Residentes,2.9,""
2007-10-01,Buenos Aires,No residentes,2.9,""
2007-10-01,CABA,Total,2.3,""
2007-10-01,CABA,Residentes,2.2,""
2007-10-01,CABA,No residentes,2.3,""
2007-10-01,Cuyo,Total,2.1,""
2007-10-01,Cuyo,Residentes,2,""
2007-10-01,Cuyo,No residentes,2.1,""
2007-10-01,Córdoba,Total,2.3,""
2007-10-01,Córdoba,Residentes,2.3,""
2007-10-01,Córdoba,No residentes,2.2,""
2007-10-01,Litoral,Total,1.7,""
2007-10-01,Litoral,Residentes,1.7,""
2007-10-01,Litoral,No residentes,1.9,""
2007-10-01,Norte,Total,1.9,""
2007-10-01,Norte,Residentes,1.8,""
2007-10-01,Norte,No residentes,2.1,""
2007-10-01,Patagonia,Total,2.4,""
2007-10-01,Patagonia,Residentes,2.5,""
2007-10-01,Patagonia,No residentes,2.3,""
2007-11-01,Buenos Aires,Total,2.9,""
2007-11-01,Buenos Aires,Residentes,2.9,""
2007-11-01,Buenos Aires,No residentes,2.7,""
2007-11-01,CABA,Total,2.2,""
2007-11-01,CABA,Residentes,2.2,""
2007-11-01,CABA,No residentes,2.3,""
2007-11-01,Cuyo,Total,2.2,""
2007-11-01,Cuyo,Residentes,2.2,""
2007-11-01,Cuyo,No residentes,2.4,""
2007-11-01,Córdoba,Total,2.2,""
2007-11-01,Córdoba,Residentes,2.2,""
2007-11-01,Córdoba,No residentes,2.1,""
2007-11-01,Litoral,Total,1.7,""
2007-11-01,Litoral,Residentes,1.7,""
2007-11-01,Litoral,No residentes,1.8,""
2007-11-01,Norte,Total,1.8,""
2007-11-01,Norte,Residentes,1.7,""
2007-11-01,Norte,No residentes,2,""
2007-11-01,Patagonia,Total,2.3,""
2007-11-01,Patagonia,Residentes,2.3,""
