indice_tiempo,region_de_destino,origen_viajeros,estadia_media_en_noches,observaciones
2007-11-01,Patagonia,No residentes,2.3,""
2007-12-01,Buenos Aires,Total,3,""
2007-12-01,Buenos Aires,Residentes,3,""
2007-12-01,Buenos Aires,No residentes,2.8,""
2007-12-01,CABA,Total,2.2,""
2007-12-01,CABA,Residentes,2.1,""
2007-12-01,CABA,No residentes,2.3,""
2007-12-01,Cuyo,Total,2.2,""
2007-12-01,Cuyo,Residentes,2.1,""
2007-12-01,Cuyo,No residentes,2.3,""
2007-12-01,Córdoba,Total,2.4,""
2007-12-01,Córdoba,Residentes,2.4,""
2007-12-01,Córdoba,No residentes,2.2,""
2007-12-01,Litoral,Total,1.7,""
2007-12-01,Litoral,Residentes,1.7,""
2007-12-01,Litoral,No residentes,2,""
2007-12-01,Norte,Total,1.6,""
2007-12-01,Norte,Residentes,1.6,""
2007-12-01,Norte,No residentes,1.8,""
2007-12-01,Patagonia,Total,2.5,""
2007-12-01,Patagonia,Residentes,2.7,""
2007-12-01,Patagonia,No residentes,2.3,""
2008-01-01,Buenos Aires,Total,4.9,""
2008-01-01,Buenos Aires,Residentes,5,""
2008-01-01,Buenos Aires,No residentes,2.8,""
2008-01-01,CABA,Total,2.4,""
2008-01-01,CABA,Residentes,2.5,""
2008-01-01,CABA,No residentes,2.4,""
2008-01-01,Cuyo,Total,2.7,""
2008-01-01,Cuyo,Residentes,2.8,""
2008-01-01,Cuyo,No residentes,2.3,""
2008-01-01,Córdoba,Total,3.7,""
2008-01-01,Córdoba,Residentes,3.7,""
2008-01-01,Córdoba,No residentes,2.6,""
2008-01-01,Litoral,Total,1.7,""
2008-01-01,Litoral,Residentes,1.6,""
2008-01-01,Litoral,No residentes,1.8,""
2008-01-01,Norte,Total,1.7,""
2008-01-01,Norte,Residentes,1.7,""
2008-01-01,Norte,No residentes,1.7,""
2008-01-01,Patagonia,Total,2.6,""
2008-01-01,Patagonia,Residentes,2.8,""
2008-01-01,Patagonia,No residentes,2.3,""
2008-02-01,Buenos Aires,Total,4.5,""
2008-02-01,Buenos Aires,Residentes,4.5,""
2008-02-01,Buenos Aires,No residentes,2.7,""
2008-02-01,CABA,Total,2.4,""
2008-02-01,CABA,Residentes,2.4,""
2008-02-01,CABA,No residentes,2.4,""
2008-02-01,Cuyo,Total,2.5,""
2008-02-01,Cuyo,Residentes,2.5,""
2008-02-01,Cuyo,No residentes,2.3,""
2008-02-01,Córdoba,Total,3.3,""
2008-02-01,Córdoba,Residentes,3.4,""
2008-02-01,Córdoba,No residentes,2.4,""
2008-02-01,Litoral,Total,1.9,""
2008-02-01,Litoral,Residentes,1.9,""
2008-02-01,Litoral,No residentes,1.9,""
2008-02-01,Norte,Total,1.6,""
2008-02-01,Norte,Residentes,1.6,""
2008-02-01,Norte,No residentes,1.9,""
2008-02-01,Patagonia,Total,2.5,""
2008-02-01,Patagonia,Residentes,2.5,""
2008-02-01,Patagonia,No residentes,2.4,""
2008-03-01,Buenos Aires,Total,3.4,""
2008-03-01,Buenos Aires,Residentes,3.4,""
2008-03-01,Buenos Aires,No residentes,2.5,""
2008-03-01,CABA,Total,2.4,""
2008-03-01,CABA,Residentes,2.4,""
2008-03-01,CABA,No residentes,2.4,""
2008-03-01,Cuyo,Total,2.2,""
2008-03-01,Cuyo,Residentes,2.2,""
2008-03-01,Cuyo,No residentes,2.1,""
2008-03-01,Córdoba,Total,2.7,""
2008-03-01,Córdoba,Residentes,2.8,""
2008-03-01,Córdoba,No residentes,2.6,""
2008-03-01,Litoral,Total,1.7,""
2008-03-01,Litoral,Residentes,1.7,""
2008-03-01,Litoral,No residentes,1.8,""
2008-03-01,Norte,Total,1.7,""
2008-03-01,Norte,Residentes,1.7,""
2008-03-01,Norte,No residentes,1.7,""
2008-03-01,Patagonia,Total,2.3,""
2008-03-01,Patagonia,Residentes,2.3,""
2008-03-01,Patagonia,No residentes,2.3,""
2008-04-01,Buenos Aires,Total,2.4,""
2008-04-01,Buenos Aires,Residentes,2.4,""
2008-04-01,Buenos Aires,No residentes,2.4,""
2008-04-01,CABA,Total,2.4,""
2008-04-01,CABA,Residentes,2.4,""
2008-04-01,CABA,No residentes,2.4,""
2008-04-01,Cuyo,Total,1.9,""
2008-04-01,Cuyo,Residentes,1.9,""
2008-04-01,Cuyo,No residentes,2,""
2008-04-01,Córdoba,Total,2.1,""
2008-04-01,Córdoba,Residentes,2,""
2008-04-01,Córdoba,No residentes,2.5,""
2008-04-01,Litoral,Total,1.6,""
2008-04-01,Litoral,Residentes,1.6,""
2008-04-01,Litoral,No residentes,1.8,""
2008-04-01,Norte,Total,1.6,""
2008-04-01,Norte,Residentes,1.6,""
2008-04-01,Norte,No residentes,1.7,""
2008-04-01,Patagonia,Total,2,""
2008-04-01,Patagonia,Residentes,2,""
2008-04-01,Patagonia,No residentes,2.3,""
2008-05-01,Buenos Aires,Total,2.4,""
2008-05-01,Buenos Aires,Residentes,2.3,""
2008-05-01,Buenos Aires,No residentes,3.1,""
2008-05-01,CABA,Total,2.5,""
2008-05-01,CABA,Residentes,2.4,""
2008-05-01,CABA,No residentes,2.5,""
2008-05-01,Cuyo,Total,1.9,""
2008-05-01,Cuyo,Residentes,1.9,""
2008-05-01,Cuyo,No residentes,2.1,""
2008-05-01,Córdoba,Total,1.9,""
2008-05-01,Córdoba,Residentes,1.9,""
2008-05-01,Córdoba,No residentes,2.3,""
2008-05-01,Litoral,Total,1.6,""
2008-05-01,Litoral,Residentes,1.6,""
2008-05-01,Litoral,No residentes,1.9,""
2008-05-01,Norte,Total,1.6,""
2008-05-01,Norte,Residentes,1.6,""
2008-05-01,Norte,No residentes,1.7,""
2008-05-01,Patagonia,Total,2,""
2008-05-01,Patagonia,Residentes,1.9,""
2008-05-01,Patagonia,No residentes,2.2,""
2008-06-01,Buenos Aires,Total,2.2,""
2008-06-01,Buenos Aires,Residentes,2.2,""
2008-06-01,Buenos Aires,No residentes,3.1,""
2008-06-01,CABA,Total,2.4,""
2008-06-01,CABA,Residentes,2.4,""
2008-06-01,CABA,No residentes,2.5,""
2008-06-01,Cuyo,Total,1.9,""
2008-06-01,Cuyo,Residentes,1.9,""
2008-06-01,Cuyo,No residentes,1.9,""
2008-06-01,Córdoba,Total,1.8,""
2008-06-01,Córdoba,Residentes,1.8,""
2008-06-01,Córdoba,No residentes,2.3,""
2008-06-01,Litoral,Total,1.7,""
2008-06-01,Litoral,Residentes,1.6,""
2008-06-01,Litoral,No residentes,1.8,""
2008-06-01,Norte,Total,1.8,""
2008-06-01,Norte,Residentes,1.8,""
2008-06-01,Norte,No residentes,1.8,""
2008-06-01,Patagonia,Total,2.1,""
2008-06-01,Patagonia,Residentes,2,""
2008-06-01,Patagonia,No residentes,2.5,""
2008-07-01,Buenos Aires,Total,2.5,""
2008-07-01,Buenos Aires,Residentes,2.4,""
2008-07-01,Buenos Aires,No residentes,3.4,""
2008-07-01,CABA,Total,2.5,""
2008-07-01,CABA,Residentes,2.5,""
2008-07-01,CABA,No residentes,2.4,""
2008-07-01,Cuyo,Total,2,""
2008-07-01,Cuyo,Residentes,2,""
2008-07-01,Cuyo,No residentes,1.9,""
2008-07-01,Córdoba,Total,2.2,""
2008-07-01,Córdoba,Residentes,2.2,""
2008-07-01,Córdoba,No residentes,2.4,""
2008-07-01,Litoral,Total,1.7,""
2008-07-01,Litoral,Residentes,1.7,""
2008-07-01,Litoral,No residentes,1.9,""
2008-07-01,Norte,Total,1.8,""
2008-07-01,Norte,Residentes,1.8,""
2008-07-01,Norte,No residentes,1.7,""
2008-07-01,Patagonia,Total,3,""
2008-07-01,Patagonia,Residentes,2.5,""
2008-07-01,Patagonia,No residentes,4.2,""
2008-08-01,Buenos Aires,Total,2.4,""
2008-08-01,Buenos Aires,Residentes,2.4,""
2008-08-01,Buenos Aires,No residentes,2.8,""
2008-08-01,CABA,Total,2.4,""
2008-08-01,CABA,Residentes,2.4,""
2008-08-01,CABA,No residentes,2.4,""
2008-08-01,Cuyo,Total,1.9,""
2008-08-01,Cuyo,Residentes,1.9,""
2008-08-01,Cuyo,No residentes,1.8,""
2008-08-01,Córdoba,Total,2.3,""
2008-08-01,Córdoba,Residentes,2.3,""
2008-08-01,Córdoba,No residentes,2.3,""
2008-08-01,Litoral,Total,1.7,""
2008-08-01,Litoral,Residentes,1.7,""
2008-08-01,Litoral,No residentes,1.8,""
2008-08-01,Norte,Total,1.9,""
2008-08-01,Norte,Residentes,1.9,""
2008-08-01,Norte,No residentes,1.7,""
2008-08-01,Patagonia,Total,3,""
2008-08-01,Patagonia,Residentes,2.8,""
2008-08-01,Patagonia,No residentes,3.5,""
2008-09-01,Buenos Aires,Total,2.3,""
2008-09-01,Buenos Aires,Residentes,2.3,""
2008-09-01,Buenos Aires,No residentes,2.3,""
2008-09-01,CABA,Total,2.5,""
2008-09-01,CABA,Residentes,2.5,""
2008-09-01,CABA,No residentes,2.5,""
2008-09-01,Cuyo,Total,1.9,""
2008-09-01,Cuyo,Residentes,1.8,""
2008-09-01,Cuyo,No residentes,1.9,""
2008-09-01,Córdoba,Total,2.1,""
2008-09-01,Córdoba,Residentes,2,""
2008-09-01,Córdoba,No residentes,2.5,""
2008-09-01,Litoral,Total,1.6,""
2008-09-01,Litoral,Residentes,1.6,""
2008-09-01,Litoral,No residentes,1.9,""
2008-09-01,Norte,Total,1.8,""
2008-09-01,Norte,Residentes,1.8,""
2008-09-01,Norte,No residentes,1.6,""
2008-09-01,Patagonia,Total,2.7,""
2008-09-01,Patagonia,Residentes,2.7,""
2008-09-01,Patagonia,No residentes,2.8,""
2008-10-01,Buenos Aires,Total,2.4,""
2008-10-01,Buenos Aires,Residentes,2.4,""
2008-10-01,Buenos Aires,No residentes,2.4,""
2008-10-01,CABA,Total,2.5,""
2008-10-01,CABA,Residentes,2.5,""
2008-10-01,CABA,No residentes,2.5,""
2008-10-01,Cuyo,Total,1.7,""
2008-10-01,Cuyo,Residentes,1.7,""
2008-10-01,Cuyo,No residentes,1.8,""
2008-10-01,Córdoba,Total,2.3,""
2008-10-01,Córdoba,Residentes,2.3,""
2008-10-01,Córdoba,No residentes,2.7,""
2008-10-01,Litoral,Total,1.6,""
2008-10-01,Litoral,Residentes,1.6,""
2008-10-01,Litoral,No residentes,1.8,""
2008-10-01,Norte,Total,1.7,""
2008-10-01,Norte,Residentes,1.7,""
2008-10-01,Norte,No residentes,1.7,""
2008-10-01,Patagonia,Total,2.5,""
2008-10-01,Patagonia,Residentes,2.5,""
2008-10-01,Patagonia,No residentes,2.3,""
2008-11-01,Buenos Aires,Total,2.8,""
2008-11-01,Buenos Aires,Residentes,2.8,""
2008-11-01,Buenos Aires,No residentes,2.5,""
2008-11-01,CABA,Total,2.4,""
2008-11-01,CABA,Residentes,2.4,""
2008-11-01,CABA,No residentes,2.4,""
2008-11-01,Cuyo,Total,1.9,""
2008-11-01,Cuyo,Residentes,1.9,""
2008-11-01,Cuyo,No residentes,1.9,""
2008-11-01,Córdoba,Total,2.3,""
2008-11-01,Córdoba,Residentes,2.3,""
2008-11-01,Córdoba,No residentes,2.2,""
2008-11-01,Litoral,Total,1.7,""
2008-11-01,Litoral,Residentes,1.7,""
2008-11-01,Litoral,No residentes,1.9,""
2008-11-01,Norte,Total,1.6,""
2008-11-01,Norte,Residentes,1.6,""
2008-11-01,Norte,No residentes,1.6,""
2008-11-01,Patagonia,Total,2.1,""
2008-11-01,Patagonia,Residentes,2.1,""
2008-11-01,Patagonia,No residentes,2.2,""
2008-12-01,Buenos Aires,Total,2.9,""
2008-12-01,Buenos Aires,Residentes,2.9,""
2008-12-01,Buenos Aires,No residentes,3.1,""
2008-12-01,CABA,Total,2.3,""
2008-12-01,CABA,Residentes,2.3,""
2008-12-01,CABA,No residentes,2.3,""
2008-12-01,Cuyo,Total,1.7,""
2008-12-01,Cuyo,Residentes,1.9,""
2008-12-01,Cuyo,No residentes,1.2,""
2008-12-01,Córdoba,Total,2.6,""
2008-12-01,Córdoba,Residentes,2.6,""
2008-12-01,Córdoba,No residentes,2.7,""
2008-12-01,Litoral,Total,1.7,""
2008-12-01,Litoral,Residentes,1.6,""
2008-12-01,Litoral,No residentes,2,""
2008-12-01,Norte,Total,1.6,""
2008-12-01,Norte,Residentes,1.6,""
2008-12-01,Norte,No residentes,1.6,""
2008-12-01,Patagonia,Total,2.4,""
2008-12-01,Patagonia,Residentes,2.4,""
2008-12-01,Patagonia,No residentes,2.4,""
2009-01-01,Buenos Aires,Total,4.5,""
2009-01-01,Buenos Aires,Residentes,4.5,""
2009-01-01,Buenos Aires,No residentes,2.9,""
2009-01-01,CABA,Total,2.3,""
2009-01-01,CABA,Residentes,2.3,""
2009-01-01,CABA,No residentes,2.4,""
2009-01-01,Cuyo,Total,2.2,""
2009-01-01,Cuyo,Residentes,2.3,""
2009-01-01,Cuyo,No residentes,2,""
2009-01-01,Córdoba,Total,3.2,""
2009-01-01,Córdoba,Residentes,3.2,""
2009-01-01,Córdoba,No residentes,2.6,""
2009-01-01,Litoral,Total,2,""
2009-01-01,Litoral,Residentes,1.9,""
2009-01-01,Litoral,No residentes,2.2,""
2009-01-01,Norte,Total,1.8,""
2009-01-01,Norte,Residentes,1.8,""
2009-01-01,Norte,No residentes,1.7,""
2009-01-01,Patagonia,Total,2.5,""
2009-01-01,Patagonia,Residentes,2.5,""
2009-01-01,Patagonia,No residentes,2.3,""
2009-02-01,Buenos Aires,Total,4.2,""
2009-02-01,Buenos Aires,Residentes,4.2,""
2009-02-01,Buenos Aires,No residentes,3,""
2009-02-01,CABA,Total,2.3,""
2009-02-01,CABA,Residentes,2.3,""
2009-02-01,CABA,No residentes,2.4,""
2009-02-01,Cuyo,Total,2.2,""
2009-02-01,Cuyo,Residentes,2.2,""
2009-02-01,Cuyo,No residentes,2.2,""
2009-02-01,Córdoba,Total,3.2,""
2009-02-01,Córdoba,Residentes,3.2,""
2009-02-01,Córdoba,No residentes,2.9,""
2009-02-01,Litoral,Total,1.9,""
2009-02-01,Litoral,Residentes,1.9,""
